Vulnerable Library,CVE Severity,Products Affected,Enterprises Exposed
underscore 1.8.3,Critical,3,40436
dompurify 2.4.0,Critical,1,35570
fast-xml-parser 5.0.9,Critical,1,35570
maildev 2.1.0,Critical,1,35570
lodash 3.7.0,Critical,2,34598
morgan 1.8.1,Critical,2,34598
uglify-js 2.3.6,Critical,2,34598
xmldom 0.1.27,Critical,2,34598
zookeeper 3.5.5,Critical,2,30482
avro 1.7.4,Critical,2,29037
jackson-mapper-asl 1.9.2,Critical,2,28811
babel-traverse 6.24.1,Critical,1,28330
c3p0 [0.9.5.4],Critical,1,28330
deep-extend 0.2.11,Critical,1,28330
form-data 0.2.0,Critical,1,28330
fsevents 0.3.0,Critical,1,28330
fsevents 0.3.8,Critical,1,28330
h2 1.4.193,Critical,1,28330
hadoop-common 2.2.0,Critical,1,28330
hadoop-common 2.7.7,Critical,1,28330
handlebars 1.0.12,Critical,1,28330
handlebars 2.0.0,Critical,1,28330
handlebars 4.0.6,Critical,1,28330
jackson-databind 2.4.0,Critical,1,28330
java-xmlbuilder 0.4,Critical,1,28330
lodash 4.16.6,Critical,1,28330
netty 3.7.0.Final,Critical,1,28330
nimbus-jose-jwt 5.9,Critical,1,28330
spring-beans 3.1.2.RELEASE,Critical,1,28330
spring-beans 4.0.5.RELEASE,Critical,1,28330
spring-security-web 6.0.8,Critical,1,28330
spring-web 4.0.5.RELEASE,Critical,1,28330
spring-webmvc 4.0.5.RELEASE,Critical,1,28330
uglify-js 1.3.2,Critical,1,28330
avro 1.11.1,Critical,1,28178
hadoop-common 3.2.2,Critical,1,28178
mina-core 2.1.5,Critical,1,28178
parquet-avro 1.11.2,Critical,1,28178
nokogiri 1.13.6,Critical,1,27494
rack 1.6.12,Critical,1,27494
golang.org/x/crypto v0.27.0,Critical,1,25920
liquibase-core 0-SNAPSHOT,Critical,1,25920
liquibase-core 1.0-SNAPSHOT,Critical,1,25920
stdlib go1.21.13,Critical,1,25920
h2 1.4.199,Critical,1,22940
form-data 0.1.4,Critical,1,18683
postgresql 42.1.1.jre7,Critical,1,18048
form-data 4.0.2,Critical,1,16978
mysql2 2.3.3,Critical,1,16978
Python 3.10.10,Critical,1,16071
htmlunit 2.58.0,Critical,1,15250
sshd-core 1.7.0,Critical,2,12997
nokogiri 1.10.4,Critical,1,12777
com.liferay.portal.kernel 2.0.0,Critical,1,12500
log4j-core 2.8.2,Critical,1,12500
org.apache.karaf.specs.java.xml 4.2.1,Critical,1,12500
org.eclipse.jgit 3.5.1.201410131835-r,Critical,1,12500
pax-logging-log4j2 1.10.1,Critical,1,12500
form-data 3.0.3,Critical,1,11501
next 15.2.1,Critical,1,11501
