Vulnerable Library,CVE Severity,Products Affected,Enterprises Exposed
playwright 1.50.1,High,1,111625
qs 0.6.6,High,1,111625
requestretry 1.9.1,High,1,111625
semver 5.4.1,High,1,111625
underscore 1.4.4,High,1,111625
json 2.18.0,High,2,107991
ws 7.5.9,High,5,105835
protobuf 6.31.1,High,1,104572
wheel 0.41.3,High,1,104572
@hono/node-server 1.19.9,High,1,104259
github.com/moby/moby v28.5.2+incompatible,High,1,104259
tar 7.5.8,High,1,104259
tj-actions/changed-files ed68ef82c095e0d48ec87eccea555d944a631a4c,High,1,104259
@angular/common 14.3.0,High,1,102371
@angular/compiler 14.3.0,High,1,102371
@angular/core 14.3.0,High,1,102371
astro 3.5.0,High,1,102371
devalue 4.3.3,High,1,102371
effect 3.16.12,High,1,102371
fast-xml-parser 5.3.6,High,1,102371
h3 1.15.3,High,1,102371
jws 4.0.0,High,1,102371
next 14.2.35,High,1,102371
undici 5.29.0,High,1,102371
undici 7.18.2,High,1,102371
minimatch 3.0.3,High,3,101974
axios 1.12.2,High,3,101824
ws 6.2.1,High,2,94934
ws 8.11.0,High,3,93983
commons-io 2.11.0,High,2,88020
rexml 3.2.6,High,1,88008
undici 6.23.0,High,1,88008
logback-classic 1.0.13,High,1,87080
logback-core 1.0.13,High,1,87080
immutable 5.0.3,High,2,76385
json5 2.2.1,High,2,72389
loader-utils 2.0.2,High,2,72389
semver 7.3.7,High,2,72389
github.com/buger/jsonparser v1.1.1,High,1,72083
d3-color 2.0.0,High,2,71258
immutable 4.3.0,High,2,69553
fast-xml-parser 4.2.5,High,1,67376
fast-xml-parser 4.5.0,High,1,67376
koa 2.7.0,High,1,67376
qs 4.0.0,High,1,67376
terser 5.7.1,High,1,67376
ws 7.5.3,High,1,67376
jackson-databind @jackson.version@,High,1,65973
@angular/common 16.0.0,High,1,65706
@angular/common 17.0.2,High,1,65706
@angular/common 18.0.1,High,1,65706
@angular/common 19.0.0,High,1,65706
@angular/common 20.0.4,High,1,65706
@angular/compiler 16.0.0,High,1,65706
@angular/compiler 17.0.2,High,1,65706
@angular/compiler 18.0.1,High,1,65706
@angular/compiler 19.0.0,High,1,65706
@angular/compiler 20.0.4,High,1,65706
@angular/core 16.0.0,High,1,65706
@angular/core 17.0.2,High,1,65706
@angular/core 18.0.1,High,1,65706
@angular/core 19.0.0,High,1,65706
@angular/core 20.0.4,High,1,65706
@angular/platform-server 16.0.0,High,1,65706
@angular/platform-server 17.0.2,High,1,65706
@angular/platform-server 18.0.1,High,1,65706
@angular/platform-server 19.0.0,High,1,65706
@angular/platform-server 20.0.4,High,1,65706
@angular/ssr 17.0.0,High,1,65706
@angular/ssr 18.0.2,High,1,65706
@angular/ssr 19.0.2,High,1,65706
@angular/ssr 20.0.3,High,1,65706
@nguniversal/common 16.0.0,High,1,65706
body-parser 1.20.0,High,1,65706
flatted 3.2.5,High,1,65706
rollup 2.75.6,High,1,65706
terser 5.14.0,High,1,65706
terser 5.14.1,High,1,65706
ws 7.5.8,High,1,65706
ws 8.7.0,High,1,65706
ws 8.8.0,High,1,65706
tar 6.1.11,High,2,64116
rollup 3.29.5,High,3,64076
lodash.pick 4.4.0,High,3,63287
http-cache-semantics 3.8.1,High,3,61898
hadoop-common 2.8.5,High,2,61320
psf/black stable,High,2,61234
avro 1.8.2,High,1,59842
gson 2.8.5,High,1,59842
hive-exec 1.2.2,High,1,59842
jackson-core 2.6.7,High,1,59842
jackson-databind 2.6.7.5,High,1,59842
jetty-server 9.4.44.v20210927,High,1,59842
mysql-connector-java 5.1.34,High,1,59842
org.eclipse.jgit 5.0.1.201806211838-r,High,1,59842
spark-core_2.10 1.6.1,High,1,59842
xercesImpl 2.11.0,High,1,59842
set-value 0.4.3,High,3,58905
set-value 2.0.0,High,3,58905
immutable 5.1.4,High,3,58842
robrichards/xmlseclibs 3.1.4,High,1,57433
taffydb 2.6.2,High,2,57338
marked 0.7.0,High,2,55991
axios 1.13.2,High,3,55508
acorn 5.7.3,High,2,54664
flatted 2.0.0,High,2,54664
json5 2.1.0,High,2,54664
semver-regex 1.0.0,High,2,54664
tar 4.4.8,High,2,54664
y18n 4.0.0,High,2,54664
flatted 3.2.7,High,3,54186
http-proxy-middleware 0.19.1,High,2,53414
immutable 3.8.2,High,2,52819
lodash 4.17.20,High,2,52819
@angular/common 16.2.1,High,1,52575
@angular/compiler 16.2.1,High,1,52575
@angular/core 16.2.1,High,1,52575
@remix-run/router 1.14.2,High,1,52575
async 3.2.0,High,1,52575
billboard.js 1.12.12,High,1,52575
billboard.js 1.8.1,High,1,52575
com.liferay.util.java 4.0.0,High,1,52575
copy-props 2.0.4,High,1,52575
cross-spawn 2.2.3,High,1,52575
css-what 2.1.0,High,1,52575
d3-color 1.2.3,High,1,52575
d3-color 3.0.1,High,1,52575
fast-json-patch 3.0.0-1,High,1,52575
fast-xml-parser 4.4.1,High,1,52575
flatted 3.1.1,High,1,52575
glob 10.3.3,High,1,52575
glob 10.4.1,High,1,52575
immutable 4.3.3,High,1,52575
immutable 4.3.6,High,1,52575
jetty-server 8.1.8.v20121106,High,1,52575
jetty-webapp 8.1.8.v20121106,High,1,52575
jspdf 3.0.4,High,1,52575
lodash-es 4.17.11,High,1,52575
lodash-es 4.17.4,High,1,52575
lodash.template 3.6.2,High,1,52575
log4j 1.2.14,High,1,52575
marked 0.6.3,High,1,52575
minimatch 4.2.1,High,1,52575
minimatch 9.0.4,High,1,52575
path-to-regexp 3.0.0,High,1,52575
qs 6.9.6,High,1,52575
rollup 3.28.1,High,1,52575
rollup 3.29.3,High,1,52575
rollup 3.29.4,High,1,52575
semver 5.7.0,High,1,52575
semver 6.1.1,High,1,52575
semver 7.3.2,High,1,52575
semver 7.3.4,High,1,52575
shiro-core 1.1.0,High,1,52575
spring-beans 4.1.2.RELEASE,High,1,52575
spring-beans 4.1.9.RELEASE,High,1,52575
spring-context 4.1.2.RELEASE,High,1,52575
spring-context 4.1.9.RELEASE,High,1,52575
spring-core 4.1.2.RELEASE,High,1,52575
spring-core 4.1.9.RELEASE,High,1,52575
spring-expression 4.1.2.RELEASE,High,1,52575
spring-expression 4.1.9.RELEASE,High,1,52575
spring-security-core 5.5.1,High,1,52575
spring-web 4.1.2.RELEASE,High,1,52575
spring-web 4.1.9.RELEASE,High,1,52575
spring-webmvc 4.1.2.RELEASE,High,1,52575
spring-webmvc 4.1.9.RELEASE,High,1,52575
storybook 8.6.15,High,1,52575
tar 6.1.15,High,1,52575
tar 7.2.0,High,1,52575
tar-fs 1.16.3,High,1,52575
tar-fs 1.16.4,High,1,52575
trim-newlines 3.0.0,High,1,52575
ua-parser-js 0.7.17,High,1,52575
ua-parser-js 0.7.20,High,1,52575
underscore 1.9.1,High,1,52575
undici 5.0.0,High,1,52575
vite 3.2.7,High,1,52575
vite 4.4.7,High,1,52575
vite 4.4.9,High,1,52575
vite 4.5.1,High,1,52575
webpack-dev-middleware 3.7.2,High,1,52575
webpack-dev-middleware 4.3.0,High,1,52575
webpack-dev-middleware 7.0.0,High,1,52575
ws 7.3.1,High,1,52575
ws 8.16.0,High,1,52575
assertj-core 3.26.3,High,1,51288
rack 3.2.4,High,1,49903
@angular/common 11.2.14,High,1,45452
@angular/compiler 11.2.14,High,1,45452
@angular/core 11.2.14,High,1,45452
commons-collections 3.2.1,High,3,44061
github.com/docker/docker v24.0.0-rc.2.0.20230908212318-6ce5aa1cd5a4+incompatible,High,1,43748
dnsjava 3.5.1,High,1,42493
playwright 1.48.2,High,2,42437
aws-sdk 2.572.0,High,1,42359
glob 11.0.0,High,1,42359
markdown-to-jsx 4.0.3,High,1,42359
minimatch 10.0.1,High,1,42359
diff 1.4.0,High,3,40436
underscore 1.8.3,High,3,40436
dompurify 2.4.0,High,1,35570
fast-xml-parser 5.0.9,High,1,35570
guzzlehttp/guzzle 7.3.0,High,1,35570
nodemailer 6.7.3,High,1,35570
nodemailer 6.8.0,High,1,35570
pdfjs-dist 3.6.172,High,1,35570
pear/archive_tar 1.4.13,High,1,35570
phpoffice/phpspreadsheet 1.17.1,High,1,35570
phpunit/phpunit 7.3.2,High,1,35570
prestashop/blockwishlist v2.0.1,High,1,35570
smarty/smarty v3.1.43,High,1,35570
symfony/symfony v4.4.32,High,1,35570
tar 6.1.13,High,1,35570
tecnickcom/tcpdf 6.4.1,High,1,35570
twig/twig v3.3.8,High,1,35570
validator 13.15.15,High,1,35570
vue-i18n 10.0.3,High,1,35570
xlsx 0.18.5,High,1,35570
commons-io 2.8.0,High,2,35013
body-parser 1.17.1,High,2,34598
bower 1.8.4,High,2,34598
js-yaml 3.8.3,High,2,34598
lodash 3.7.0,High,2,34598
merge 1.2.0,High,2,34598
minimatch 1.0.0,High,2,34598
mout 0.9.1,High,2,34598
npm 2.14.10,High,2,34598
semver 5.0.3,High,2,34598
tar 1.0.3,High,2,34598
uglify-js 2.3.6,High,2,34598
moment 2.18.1,High,2,32571
semver 2.3.2,High,2,30419
mysql-connector-java 8.0.13,High,2,29808
i18n 0.7.0,High,2,29671
avro 1.7.4,High,2,29037
jersey-core 1.9,High,2,28973
commons-io 2.1,High,3,28845
jackson-mapper-asl 1.9.2,High,2,28811
jetty-server 9.4.51.v20230217,High,2,28675
jersey-core 1.8,High,2,28364
ambari 2.7.6,High,1,28330
async 2.3.0,High,1,28330
bower 1.7.2,High,1,28330
bower 1.8.0,High,1,28330
braces 0.1.5,High,1,28330
c3p0 [0.9.5.4],High,1,28330
commons-compress 1.4.1,High,1,28330
cross-spawn 3.0.1,High,1,28330
debug 2.1.3,High,1,28330
debug 2.6.1,High,1,28330
debug 2.6.3,High,1,28330
debug 2.6.4,High,1,28330
debug 2.6.6,High,1,28330
decompress-zip 0.1.0,High,1,28330
engine.io 1.8.3,High,1,28330
fresh 0.2.0,High,1,28330
gson 2.2.2,High,1,28330
hadoop-common 2.2.0,High,1,28330
hadoop-common 2.7.7,High,1,28330
handlebars 1.0.12,High,1,28330
handlebars 2.0.0,High,1,28330
handlebars 4.0.6,High,1,28330
hawk 2.3.1,High,1,28330
httpclient 4.1.2,High,1,28330
jackson-core 2.4.0,High,1,28330
jackson-databind 2.4.0,High,1,28330
jettison 1.1,High,1,28330
lodash 4.16.6,High,1,28330
lodash.merge 4.6.0,High,1,28330
mime 1.2.4,High,1,28330
minimatch 0.3.0,High,1,28330
mout 0.11.1,High,1,28330
mout 1.0.0,High,1,28330
ms 0.7.0,High,1,28330
netty 3.7.0.Final,High,1,28330
nimbus-jose-jwt 5.9,High,1,28330
phantomjs 1.9.20,High,1,28330
qs 0.4.2,High,1,28330
qs 0.6.5,High,1,28330
qs 5.2.1,High,1,28330
scss-tokenizer 0.2.1,High,1,28330
snappy-java 1.0.4.1,High,1,28330
spring-beans 3.1.2.RELEASE,High,1,28330
spring-beans 4.0.5.RELEASE,High,1,28330
spring-context 4.0.5.RELEASE,High,1,28330
spring-core 4.0.5.RELEASE,High,1,28330
spring-core 6.0.23,High,1,28330
spring-expression 4.0.5.RELEASE,High,1,28330
spring-security-core 6.0.8,High,1,28330
spring-web 4.0.5.RELEASE,High,1,28330
spring-webmvc 4.0.5.RELEASE,High,1,28330
spring-webmvc 6.0.23,High,1,28330
sshpk 1.13.0,High,1,28330
tar-fs 1.15.2,High,1,28330
uglify-js 1.3.2,High,1,28330
uglify-js 2.4.24,High,1,28330
ws 1.1.2,High,1,28330
xstream 1.4.7,High,1,28330
yamlbeans 1.13,High,1,28330
avro 1.11.1,High,1,28178
jdom 1.1.3,High,1,28178
parquet-avro 1.11.2,High,1,28178
snappy-java 1.1.8.4,High,1,28178
fabric 4.6.0,High,1,28024
addressable 2.3.8,High,1,27494
nokogiri 1.13.6,High,1,27494
pyinstaller 3.6,High,1,27494
rack 1.6.12,High,1,27494
underscore 1.13.7,High,1,27214
github.com/sirupsen/logrus v1.7.0,High,1,25920
golang.org/x/crypto v0.27.0,High,1,25920
stdlib go1.21.13,High,1,25920
h2 1.4.199,High,1,22940
assertj-core 3.11.1,High,3,22414
aws/aws-sdk-php 3.369.22,High,1,18954
dompurify 3.0.6,High,1,18954
league/commonmark 2.4.1,High,1,18954
mermaid 10.6.0,High,1,18954
symfony/http-foundation v6.4.3,High,1,18954
symfony/process v6.4.3,High,1,18954
diff 1.0.8,High,1,18683
hawk 1.1.1,High,1,18683
qs 1.0.2,High,1,18683
underscore 1.1.7,High,1,18683
jdom 1.1,High,1,18048
postgresql 42.1.1.jre7,High,1,18048
axios 1.9.0,High,1,16978
lodash.set 4.3.2,High,1,16978
mysql2 2.3.3,High,1,16978
phpunit/phpunit 9.6.11,High,1,16978
semver 7.5.1,High,1,16978
tar-fs 2.1.3,High,1,16978
tj-actions/changed-files v35,High,1,16978
Python 3.10.10,High,1,16071
commonmarker 0.17.13,High,2,15966
tzinfo 1.2.5,High,2,15966
socket.io-parser 4.2.5,High,2,15767
commons-beanutils 1.9.3,High,1,15250
mysql-connector-java 5.1.15,High,1,15250
aircompressor 0.25,High,1,14544
zookeeper 3.9.3,High,1,14544
addressable 2.7.0,High,1,12777
aiohttp 3.5.4,High,1,12777
certifi 2019.6.16,High,1,12777
cryptography 2.7,High,1,12777
nokogiri 1.10.4,High,1,12777
py 1.8.0,High,1,12777
pyasn1 0.4.5,High,1,12777
pygments 2.4.2,High,1,12777
pyjwt 1.4.2,High,1,12777
urllib3 1.25.3,High,1,12777
browserify-sign 4.2.1,High,2,12521
com.liferay.portal.kernel 2.0.0,High,1,12500
commons-io 2.2,High,1,12500
log4j-core 2.8.2,High,1,12500
org.apache.karaf.management.server 4.2.1,High,1,12500
org.eclipse.jgit 3.5.1.201410131835-r,High,1,12500
pax-logging-log4j2 1.10.1,High,1,12500
plexus-utils 3.0.17,High,1,12500
portal-service 6.2.5,High,1,12500
next 15.2.1,High,1,11501
playwright 1.43.1,High,1,11501
rollup 4.34.9,High,1,11501
tj-actions/changed-files 8cba46e29c11878d930bca7870bb54394d3e8b21,High,2,10103
mcp 0.8.0,High,1,9443
ruby-lsp 0.26.8,High,1,9443
xstream 1.4.20,High,2,8835
immutable 4.3.5,High,1,8304
next 14.1.3,High,1,8304
next-mdx-remote 4.4.1,High,1,8304
svgo 3.2.0,High,1,8304
jackson-mapper-asl 1.9.13,High,2,7877
fast-xml-parser 4.5.3,High,2,7796
axios 0.26.1,High,1,7599
uplot 1.6.18,High,1,7599
ip 1.1.8,High,2,7522
grpc-netty-shaded 1.65.1,High,1,7234
image-size 1.2.0,High,1,7234
immer 8.0.1,High,1,7234
jetty-server 12.0.30,High,1,7234
libthrift 0.13.0,High,1,7234
netty 3.10.6.Final,High,1,7234
@angular/common 20.3.2,High,1,6867
@angular/compiler 20.3.2,High,1,6867
@angular/compiler 21.2.1,High,1,6867
@angular/compiler 9.0.0,High,1,6867
@angular/core 20.3.2,High,1,6867
@angular/core 21.2.1,High,1,6867
@angular/core 9.0.0,High,1,6867
@angular/ssr 20.3.3,High,1,6867
@modelcontextprotocol/sdk 1.25.2,High,1,6867
dart 2.17.6,High,1,6867
flatted 3.2.6,High,1,6867
flatted 3.4.0,High,1,6867
happy-dom 15.7.4,High,1,6867
happy-dom 20.8.3,High,1,6867
koa 3.0.1,High,1,6867
koa 3.0.3,High,1,6867
minimatch 10.2.1,High,1,6867
next 14.0.4,High,1,6867
next 14.2.16,High,1,6867
path-to-regexp 2.4.0,High,1,6867
picomatch 4.0.1,High,1,6867
rollup 4.14.0,High,1,6867
storybook 10.2.9,High,1,6867
tar 7.5.1,High,1,6867
undici 5.28.4,High,1,6867
undici 7.22.0,High,1,6867
assertj-core 3.23.1,High,1,6683
esapi 2.1.0.1,High,1,6683
fast-xml-parser 4.3.0,High,1,6683
ini4j 0.5.4,High,1,6683
jackson-core 2.13.3,High,1,6683
jackson-databind 2.13.3,High,1,6683
minio 8.5.2,High,1,6683
moment 2.29.3,High,1,6683
mysql-connector-j 8.0.33,High,1,6683
spring-web 5.3.26,High,1,6683
testng 7.1.0,High,1,6683
tomcat-embed-core 10.0.22,High,1,6683
vue-i18n 9.2.2,High,1,6683
js-yaml 3.7.0,High,2,6330
eazy-logger 3.1.0,High,1,6324
ua-parser-js 1.0.2,High,1,6324
bower 1.7.7,High,1,6268
brace-expansion 1.1.6,High,1,6268
handlebars 3.0.3,High,1,6268
hoek 6.1.3,High,1,6268
@tryghost/members-csv 2.0.3,High,1,5838
fast-xml-parser 5.2.5,High,1,5838
html-minifier 4.0.0,High,1,5838
jsonwebtoken 8.5.1,High,1,5838
knex 0.20.15,High,1,5838
knex 0.21.21,High,1,5838
luxon 1.28.0,High,1,5838
nodemailer 6.10.1,High,1,5838
react-router 7.9.4,High,1,5838
rollup 0.57.1,High,1,5838
rollup 1.32.1,High,1,5838
rollup 4.52.2,High,1,5838
storybook 8.6.14,High,1,5838
storybook 9.1.10,High,1,5838
svgo 4.0.0,High,1,5838
tar 6.1.14,High,1,5838
underscore 1.13.6,High,1,5838
underscore 1.7.0,High,1,5838
undici 5.22.1,High,1,5838
validator 13.12.0,High,1,5838
validator 7.2.0,High,1,5838
angular 0.0.0-use.local,High,1,5479
commons-io 2.7,High,2,5259
camel-core 2.25.2,High,1,4763
drools-core 6.0.0.Final-jahia2,High,1,4763
immutable 4.1.0,High,1,4763
jackrabbit-core 2.22.0-jahia1,High,1,4763
jackrabbit-spi-commons 2.22.0-jahia1,High,1,4763
jbpm-bpmn2 6.0.0.Final,High,1,4763
solr-core 3.6.2-jahia1,High,1,4763
spring-beans 3.2.18.jahia2_OSGI,High,1,4763
spring-context 3.2.18.RELEASE_OSGI,High,1,4763
spring-core 3.2.18.RELEASE_OSGI,High,1,4763
spring-web 3.2.18.jahia5_OSGI,High,1,4763
spring-webmvc 3.2.18.RELEASE_OSGI,High,1,4763
underscore 1.13.3,High,1,4763
validator 13.7.0,High,1,4763
velocity 1.6.4,High,1,4763
@angular/common 4.4.7,High,1,4241
@angular/compiler 4.4.7,High,1,4241
@angular/core 4.4.7,High,1,4241
angular 1.5.9,High,1,4241
hazelcast 3.12.13,High,1,4241
string 3.3.3,High,1,4241
commons-compress 1.14,High,1,4230
jackson-core 2.10.1,High,1,4230
jackson-databind 2.10.1,High,1,4230
jetty 6.1.21,High,1,4230
spark-core_2.10 1.1.1,High,1,4230
spark-core_2.10 1.6.3,High,1,4230
spark-core_2.12 3.0.0,High,1,4230
sqlite-jdbc 3.16.1,High,1,4230
xstream 1.4.18,High,1,4230
openssl 3.6.1,High,1,4086
generic-array 0.12.3,High,1,4040
generic-array 0.13.2,High,1,4040
http 0.1.0,High,1,4040
black 23.12.1,High,1,3695
cryptography 42.0.5,High,1,3695
pyjwt 2.8.0,High,1,3695
urllib3 2.1.0,High,1,3695
urllib3 2.2.1,High,1,3695
@angular/common 20.0.0-rc.2,High,1,3416
@angular/common 20.2.0,High,1,3416
@angular/compiler 20.0.0-rc.2,High,1,3416
@angular/compiler 20.2.0,High,1,3416
@angular/compiler 21.0.6,High,1,3416
@angular/compiler 21.2.0,High,1,3416
@angular/core 20.0.0-rc.2,High,1,3416
@angular/core 20.2.0,High,1,3416
@angular/core 21.0.6,High,1,3416
@angular/core 21.2.0,High,1,3416
@modelcontextprotocol/sdk 1.17.3,High,1,3416
@modelcontextprotocol/sdk 1.24.0,High,1,3416
immutable 5.1.1,High,1,3416
rollup 4.50.0,High,1,3416
rollup 4.53.5,High,1,3416
tar 7.5.2,High,1,3416
undici 7.16.0,High,1,3416
addressable 2.5.2,High,1,3189
nokogiri 1.10.8,High,1,3189
aws-java-sdk-s3 1.11.791,High,1,3107
commons-fileupload 1.5,High,1,3107
jackson-core 2.13.1,High,1,3107
jackson-databind 2.13.2.1,High,1,3107
jetty-server 9.4.53.v20231009,High,1,3107
kafka_2.12 2.8.2,High,1,3107
mysql-connector-java 8.0.28,High,1,3107
protobuf-java 3.4.0,High,1,3107
spark-core_2.12 3.3.0-kylin-5.2.2,High,1,3107
spring-webmvc 5.3.31,High,1,3107
tomcat-embed-core 9.0.90,High,1,3107
aws/aws-sdk-php 3.359.13,High,1,2851
minimatch 8.0.4,High,1,2851
celery 4.2.0,High,1,2846
certifi 2018.8.24,High,1,2846
flask 1.0,High,1,2846
flask-cors 3.0.2,High,1,2846
gunicorn 19.6.0,High,1,2846
jinja2 2.10,High,1,2846
mako 1.0.7,High,1,2846
requests 2.1.0,High,1,2846
urllib3 1.23,High,1,2846
werkzeug 0.14.1,High,1,2846
log4j 1.2.16,High,3,2774
golang.org/x/net v0.7.0,High,2,2532
trim-newlines 2.0.0,High,2,2228
addressable 2.4.0,High,1,2177
ffi 1.9.10,High,1,2177
json 1.8.3,High,1,2177
nokogiri 1.8.2,High,1,2177
rack 1.6.0,High,1,2177
sprockets 2.12.3,High,1,2177
tzinfo 1.2.2,High,1,2177
aws-java-sdk-s3 1.11.815,High,1,2152
commons-collections4 4.0,High,1,2152
github.com/dgrijalva/jwt-go v3.2.0+incompatible,High,1,2152
github.com/gogo/protobuf v1.1.1,High,1,2152
github.com/gogo/protobuf v1.2.2-0.20190723190241-65acae22fc9d,High,1,2152
github.com/gogo/protobuf v1.3.1,High,1,2152
github.com/prometheus/client_golang v1.0.0,High,1,2152
github.com/ulikunitz/xz v0.5.5,High,1,2152
golang.org/x/crypto v0.0.0-20190820162420-60c769a6c586,High,1,2152
golang.org/x/crypto v0.0.0-20200622213623-75b288015ac9,High,1,2152
golang.org/x/crypto v0.1.0,High,1,2152
golang.org/x/net v0.0.0-20200625001655-4c5254603344,High,1,2152
golang.org/x/net v0.0.0-20210825183410-e898025ed96a,High,1,2152
golang.org/x/oauth2 v0.0.0-20190402181905-9f3314589c9a,High,1,2152
golang.org/x/oauth2 v0.0.0-20190604053449-0f29369cfe45,High,1,2152
golang.org/x/text v0.3.2,High,1,2152
golang.org/x/text v0.3.7,High,1,2152
google.golang.org/grpc v1.37.1,High,1,2152
gopkg.in/yaml.v3 v3.0.0-20200313102051-9f266ea9e77c,High,1,2152
gopkg.in/yaml.v3 v3.0.0-20210107192922-496545a6307b,High,1,2152
grpc-protobuf 1.54.1,High,1,2152
jackson-core 2.13.5,High,1,2152
jetty-server 9.4.46.v20220331,High,1,2152
k8s.io/apimachinery v0.0.0-20190817020851-f2f3a405f61d,High,1,2152
k8s.io/kubernetes v1.15.4,High,1,2152
lz4-java 1.8.0,High,1,2152
okhttp 3.10.0,High,1,2152
parquet-avro 1.11.0,High,1,2152
protobuf-java 3.19.6,High,1,2152
stdlib go1.17,High,1,2152
acorn 6.1.1,High,1,2089
async 2.6.2,High,1,2089
browserify-sign 4.0.4,High,1,2089
browserify-sign 4.2.0,High,1,2089
cross-spawn 4.0.0,High,1,2089
dompurify 2.4.7,High,1,2089
elliptic 6.4.1,High,1,2089
ffi 1.9.6,High,1,2089
get-func-name 2.0.0,High,1,2089
grunt 1.0.2,High,1,2089
grunt 1.0.3,High,1,2089
handlebars 4.1.1,High,1,2089
is-svg 3.0.0,High,1,2089
js-yaml 3.13.0,High,1,2089
js-yaml 3.5.5,High,1,2089
lodash 4.17.10,High,1,2089
lodash 4.17.5,High,1,2089
mout 1.2.2,High,1,2089
npm 5.10.0,High,1,2089
npm 5.8.0,High,1,2089
npm-user-validate 1.0.0,High,1,2089
pathval 1.1.0,High,1,2089
qs 6.6.0,High,1,2089
semver 5.5.0,High,1,2089
semver 5.6.0,High,1,2089
serialize-javascript 3.1.0,High,1,2089
shelljs 0.8.3,High,1,2089
shelljs 0.8.4,High,1,2089
ssri 5.3.0,High,1,2089
ssri 6.0.0,High,1,2089
ssri 6.0.1,High,1,2089
tar 4.4.4,High,1,2089
tree-kill 1.2.1,High,1,2089
ua-parser-js 0.7.19,High,1,2089
urllib3 2.0.6,High,1,2089
ws 3.3.3,High,1,2089
ws 5.2.2,High,1,2089
ws 6.2.0,High,1,2089
rollup 0.51.8,High,1,1940
shelljs 0.7.8,High,1,1940
composer 2.7.2,High,1,1865
symfony/process v4.4.44,High,1,1865
composer/composer 1.10.26,High,1,1513
laravel/framework v8.83.15,High,1,1513
league/commonmark 2.3.1,High,1,1513
symfony/http-foundation v5.4.9,High,1,1513
symfony/process v5.4.8,High,1,1513
twig/twig v2.15.1,High,1,1513
ant 1.9.15,High,1,1478
cassandra-all 3.11.3,High,1,1478
hadoop-common 2.9.2,High,1,1478
hibernate-core 4.2.21.Final,High,1,1478
hibernate-core 5.1.5.Final,High,1,1478
mesos 1.5.3,High,1,1478
xstream 1.4.8,High,1,1478
jackson-core 2.12.4,High,1,1472
jasperreports 6.20.5,High,1,1472
logback-classic 1.2.3,High,1,1472
logback-core 1.2.3,High,1,1472
snakeyaml 1.13,High,1,1472
spring-beans 5.2.15.RELEASE,High,1,1472
spring-context 5.2.15.RELEASE,High,1,1472
spring-web 5.2.15.RELEASE,High,1,1472
zookeeper 3.4.5,High,3,1429
velocity 1.7,High,2,1395
rollup 4.57.1,High,1,1090
commons-beanutils 1.8.0,High,1,914
commons-collections 3.1,High,1,914
commons-fileupload 1.2,High,1,914
esapi 2.1.0,High,1,914
hadoop-common 2.7.2,High,1,914
jetty 6.1.14,High,1,914
jetty 6.1.6,High,1,914
jsoup 1.8.3,High,1,914
log4j 1.2.15,High,1,914
parquet-avro 1.7.0,High,1,914
shiro-core 1.2.3,High,1,914
shiro-web 1.2.3,High,1,914
xercesImpl 2.10.0,High,1,914
http-proxy-middleware 1.3.1,High,1,839
locutus 2.0.39,High,1,839
marked 2.1.3,High,1,839
log4j-core 2.1,High,1,707
netty 3.6.6.Final,High,1,707
netty-all 4.0.4.Final,High,1,707
protobuf-java 3.16.3,High,1,707
ant 1.9.2,High,1,643
commons-beanutils 1.9.2,High,1,643
hadoop-common 2.6.0,High,1,643
rollup 4.45.1,High,1,570
avro 1.11.0,High,1,497
aws-java-sdk-s3 1.11.133,High,1,497
gson 2.3.1,High,1,497
hadoop-common 2.3.0,High,1,497
ion-java 1.0.2,High,1,497
kafka_2.12 0.10.2.2,High,1,497
libthrift 0.9.3,High,1,497
logback-classic 1.2.11,High,1,497
logback-classic 1.2.8,High,1,497
logback-core 1.2.11,High,1,497
logback-core 1.2.8,High,1,497
netty-codec-http 4.1.75.Final,High,1,497
okhttp 4.9.1,High,1,497
org.eclipse.jgit 5.9.0.202009080501-r,High,1,497
snappy-java 1.1.1.7,High,1,497
spark-core_2.12 3.1.1,High,1,497
spark-core_2.12 3.3.2,High,1,497
json 20160810,High,1,481
netty-all 4.1.36.Final,High,1,481
axios 0.30.2,High,1,444
dompurify 2.4.3,High,1,444
mermaid 9.4.3,High,1,444
undici 7.18.0,High,1,444
github.com/golang-jwt/jwt/v4 v4.4.2,High,1,380
github.com/jackc/pgx/v5 v5.1.1,High,1,380
github.com/mholt/archiver/v3 v3.3.1-0.20191129193105-44285f7ed244,High,1,380
github.com/sirupsen/logrus v1.9.0,High,1,380
golang.org/x/crypto v0.3.0,High,1,380
google.golang.org/grpc v1.41.0,High,1,380
certifi 2022.12.7,High,1,324
tornado 6.3.2,High,1,324
urllib3 1.26.14,High,1,324
immutable 3.7.6,High,2,283
cryptography 46.0.4,High,1,248
pyjwt 2.11.0,High,1,248
activestorage 7.1.5.1,High,1,244
httparty 0.22.0,High,1,244
nokogiri 1.16.8,High,1,244
rack 3.1.8,High,1,244
composer/composer dev-master,High,1,190
symfony/http-foundation v3.0.9,High,1,190
symfony/process v3.2.2,High,1,190
twig/twig v1.31.0,High,1,190
axios 1.12.0,High,1,139
ws 8.9.0,High,1,139
yaml 2.1.1,High,1,139
happy-dom 20.8.7,High,1,82
lodash 4.2.1,High,1,82
rollup 4.55.1,High,1,82
solr-core 9.4.1,High,1,82
undici 7.21.0,High,1,82
xwiki-platform-oldcore [18.3.0-SNAPSHOT],High,1,82
cbor2 5.4.2.post1,High,1,75
