project,critical,high,medium,low,components,vulnerabilities,product,vendor,repo_url,VendorName,Product,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US,gh_stars,gh_forks,gh_open_issues,gh_watchers,gh_language,gh_created_at,gh_updated_at,gh_pushed_at,gh_default_branch,gh_license,gh_archived,gh_size_kb,gh_size_gb
PowerDNS-DNS_Server.cdx,1,1,0,0,393,2,DNS Server,PowerDNS,https://github.com/PowerDNS/pdns,PowerDNS,DNS Server,Infrastructure as a Service,1761.0,1573.0,248.0,190.0,4329.0,994.0,936.0,127.0,C++,2013-04-26T11:16:49Z,2026-03-28T19:16:22Z,2026-03-29T04:35:28Z,master,GPL-2.0,False,107382.0,0.1024074554443359
Simple_Machines-Simple_Machines_Forum.cdx,0,0,0,0,21,0,Simple Machines Forum,Simple Machines,https://github.com/SimpleMachines/SMF,Simple Machines,Simple Machines Forum,Software as a Service,1941.0,937.0,978.0,390.0,714.0,270.0,139.0,64.0,PHP,2012-01-24T16:36:19Z,2026-03-28T13:15:07Z,2026-03-21T16:56:04Z,release-3.0,NOASSERTION,False,73586.0,0.0701770782470703
The_Apache_Software_Foundation-Apache_Ambari.cdx,37,146,105,1,1727,289,Apache Ambari,The Apache Software Foundation,https://github.com/apache/ambari,The Apache Software Foundation,Apache Ambari,Big Data Processing,131790.0,74902.0,28330.0,10334.0,2297.0,1742.0,136.0,195.0,Java,2011-09-23T07:00:08Z,2026-03-27T03:33:24Z,2026-02-20T08:19:55Z,trunk,Apache-2.0,False,377283.0,0.3598051071166992
The_Apache_Software_Foundation-Apache_Flink.cdx,0,4,1,0,666,5,Apache Flink,The Apache Software Foundation,https://github.com/apache/flink,The Apache Software Foundation,Apache Flink,Big Data Processing,672831.0,368263.0,159046.0,68632.0,25906.0,13906.0,321.0,916.0,Java,2014-06-07T07:00:10Z,2026-03-29T13:31:26Z,2026-03-29T10:05:16Z,master,Apache-2.0,False,542924.0,0.5177726745605469
The_Apache_Software_Foundation-Apache_Flume.cdx,4,5,0,0,151,9,Apache Flume,The Apache Software Foundation,https://github.com/apache/flume,The Apache Software Foundation,Apache Flume,Big Data Processing,151708.0,108162.0,28178.0,16456.0,2558.0,1550.0,91.0,223.0,Java,2011-08-12T18:20:14Z,2026-03-20T11:43:18Z,2024-10-10T11:41:45Z,trunk,Apache-2.0,False,45138.0,0.0430469512939453
The_Apache_Software_Foundation-Apache_Hadoop.cdx,15,64,47,0,1666,126,Apache Hadoop,The Apache Software Foundation,https://github.com/apache/hadoop,The Apache Software Foundation,Apache Hadoop,Big Data Processing,1537800.0,952164.0,305735.0,161002.0,15510.0,9206.0,124.0,965.0,Java,2014-08-28T07:00:08Z,2026-03-29T07:44:29Z,2026-03-29T17:24:05Z,trunk,Apache-2.0,False,605751.0,0.5776891708374023
The_Apache_Software_Foundation-Apache_Hadoop_HDFS.cdx,15,64,47,0,1666,126,Apache Hadoop HDFS,The Apache Software Foundation,,,,,,,,,,,,,,,,,,,,,
The_Apache_Software_Foundation-Apache_Hadoop_MapReduce.cdx,15,64,47,0,1666,126,Apache Hadoop MapReduce,The Apache Software Foundation,,,,,,,,,,,,,,,,,,,,,
The_Apache_Software_Foundation-Apache_Kafka.cdx,0,0,0,0,63,0,Apache Kafka,The Apache Software Foundation,https://github.com/apache/kafka,The Apache Software Foundation,Apache Kafka,Big Data Processing,618199.0,367007.0,130978.0,60033.0,32226.0,15070.0,325.0,1047.0,Java,2011-08-15T18:06:16Z,2026-03-29T21:46:29Z,2026-03-29T21:46:23Z,trunk,Apache-2.0,False,282389.0,0.2693071365356445
The_Apache_Software_Foundation-Apache_Kylin.cdx,1,0,0,0,321,1,Apache Kylin,The Apache Software Foundation,https://github.com/apache/kylin,The Apache Software Foundation,Apache Kylin,Big Data Processing,21974.0,9738.0,3107.0,716.0,3766.0,1514.0,80.0,256.0,Java,2015-01-03T08:00:05Z,2026-03-29T11:08:44Z,2026-03-13T08:55:11Z,kylin5,Apache-2.0,False,573833.0,0.5472497940063477
The_Apache_Software_Foundation-Apache_NiFi.cdx,0,3,0,0,2279,3,Apache NiFi,The Apache Software Foundation,https://github.com/apache/nifi,The Apache Software Foundation,Apache NiFi,Big Data Processing,211991.0,142931.0,45452.0,25532.0,6030.0,2937.0,43.0,189.0,Java,2014-12-12T08:00:05Z,2026-03-29T23:05:54Z,2026-03-29T19:33:20Z,main,Apache-2.0,False,304984.0,0.2908554077148437
The_Apache_Software_Foundation-Apache_Oozie.cdx,9,22,10,0,183,41,Apache Oozie,The Apache Software Foundation,https://github.com/apache/oozie,The Apache Software Foundation,Apache Oozie,Big Data Processing,274628.0,180373.0,59842.0,32502.0,728.0,471.0,49.0,70.0,Java,2011-09-14T07:00:10Z,2026-03-29T13:29:57Z,2025-01-27T08:38:13Z,master,Apache-2.0,True,32259.0,0.0307645797729492
