repo_url,VendorName,Product,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US,gh_stars,gh_forks,gh_open_issues,gh_watchers,gh_language,gh_created_at,gh_updated_at,gh_pushed_at,gh_default_branch,gh_license,gh_archived,gh_size_kb,sbom_file,vuln_file,total_libraries,unique_libraries,syft_languages,syft_pkg_types,unique_lib_versions,vuln_lib_count,pct_libs_vulnerable,total_vulns,unique_cves,critical,high,medium,low,fixable,not_fixed,avg_cvss,max_cvss,avg_risk,max_risk,avg_epss,max_epss,grype_languages,grype_pkg_types,cwes,pct_fixable,pct_enterprises,active
https://github.com/Alluxio/alluxio,Alluxio Inc.,Alluxio,Big Data Processing,9096,4153,2152.0,832,7172.0,2948.0,1039.0,433.0,Java,2012-12-21T17:43:46Z,2026-03-30T00:00:46Z,2025-04-29 16:46:58+00:00,main,Apache-2.0,False,205633.0,,,544.0,440.0,go; java,github-action; go-module; java-archive,498.0,38.0,8.64,363.0,98.0,30.0,170.0,149.0,14.0,356.0,7.0,6.79,10.0,3.61,78.75,0.05,0.94,go; java,go-module; java-archive,CWE-114; CWE-115; CWE-119; CWE-120; CWE-121; CWE-121; CWE-502; CWE-125; CWE-1286; CWE-1287; CWE-20; CWE-1287; NVD-CWE-Other; CWE-129; CWE-150; NVD-CWE-Other; CWE-190; CWE-20; CWE-200; CWE-201; CWE-203; CWE-20; CWE-552; CWE-20; CWE-776; CWE-22; CWE-23; CWE-252; CWE-269; CWE-276; CWE-283; CWE-285; CWE-287; CWE-755; CWE-295; CWE-295; CWE-297; CWE-330; CWE-347; CWE-354; CWE-362; CWE-367; CWE-372; NVD-CWE-Other; CWE-378; CWE-378; CWE-732; CWE-400; CWE-400; CWE-674; CWE-787; CWE-400; CWE-770; CWE-404; CWE-407; CWE-420; NVD-CWE-Other; CWE-436; CWE-440; NVD-CWE-Other; CWE-441; CWE-610; CWE-444; CWE-476; CWE-502; CWE-532; CWE-552; CWE-59; CWE-59; CWE-61; CWE-601; CWE-639; CWE-668; CWE-674; CWE-682; CWE-73; CWE-74; CWE-74; CWE-94; CWE-77; CWE-770; CWE-770; CWE-789; CWE-772; CWE-79; CWE-835; CWE-863; CWE-918; CWE-94; NVD-CWE-Other,98.07,0.01,False
https://github.com/Ametys/runtime,Ametys,Ametys,Web Content Management Systems,535,0,311.0,0,1.0,0.0,0.0,2.0,CSS,2016-11-16T19:06:43Z,2016-11-17T09:26:18Z,2016-11-16 19:18:27+00:00,master,Apache-2.0,False,79746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False
https://github.com/Automattic/jetpack,Jetpack,JetPack,Other Web Tools & Plugins,286504,158942,179352.0,78568,1795.0,865.0,2686.0,212.0,PHP,2013-12-16T16:43:01Z,2026-03-30T17:35:56Z,2026-03-30 17:43:49+00:00,trunk,NOASSERTION,False,701735.0,,,3297.0,2522.0,javascript; php,github-action; npm; php-composer,2890.0,2.0,0.08,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,6.7,7.5,0.01,0.03,0.0,0.0,javascript,npm,CWE-1333,100.0,0.43,True
https://github.com/Automattic/liveblog,WordPress,Liveblog,Application Development Tools,4,1,4.0,1,314.0,124.0,31.0,132.0,PHP,2012-06-04T03:14:54Z,2026-03-30T12:15:29Z,2026-03-30 12:15:27+00:00,develop,GPL-2.0,False,45530.0,,,212.0,190.0,javascript,github-action; npm,199.0,2.0,1.05,7.0,4.0,0.0,6.0,1.0,0.0,7.0,0.0,7.7,8.7,0.02,0.03,0.0,0.0,javascript,npm,CWE-1333; CWE-400; CWE-407,100.0,0.0,True
https://github.com/CONTENIDO/CONTENIDO,four for business AG,CONTENIDO,Web Content Management Systems,1257,38,1027.0,12,17.0,12.0,40.0,8.0,PHP,2019-09-07T10:37:39Z,2026-03-28T09:22:55Z,2026-03-28 09:22:51+00:00,develop,NOASSERTION,False,51756.0,,,2.0,2.0,java,java-archive,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,False
https://github.com/Cacti/cacti,The Cacti Group Inc.,Cacti,IT Infrastructure & Ops Management,26333,15973,4302.0,1264,1815.0,438.0,207.0,119.0,PHP,2015-01-19T05:36:15Z,2026-03-30T03:16:24Z,2026-03-30 17:22:57+00:00,develop,GPL-2.0,False,301314.0,,,140.0,123.0,javascript; php,github-action; npm; php-composer,126.0,6.0,4.88,8.0,8.0,0.0,3.0,3.0,2.0,8.0,0.0,6.18,8.7,0.03,0.06,0.0,0.0,javascript; php,npm; php-composer,CWE-1321; CWE-1333; CWE-20; CWE-326; CWE-776,100.0,0.01,True
https://github.com/Countly/countly-server,Countly,Countly,Web Analytics,2426,346,1249.0,155,5841.0,980.0,37.0,213.0,JavaScript,2012-05-28T18:48:40Z,2026-03-30T08:22:54Z,2026-03-30 11:00:43+00:00,master,NOASSERTION,False,744127.0,,,1364.0,891.0,javascript,github-action; npm,1070.0,9.0,1.01,31.0,19.0,0.0,22.0,6.0,3.0,31.0,0.0,7.03,8.8,0.02,0.06,0.0,0.0,javascript,npm,CWE-1321; CWE-1333; CWE-176; CWE-352; CWE-367; CWE-20; CWE-347; CWE-22; CWE-22; CWE-59; CWE-295; CWE-347; CWE-400; CWE-407; CWE-705; CWE-835,100.0,0.0,True
https://github.com/EC-CUBE/ec-cube,ec-cube.net,EC-CUBE,E-Commerce Platform/Software,1517,9,1436.0,9,784.0,711.0,505.0,89.0,PHP,2014-11-28T02:58:26Z,2026-03-30T03:49:31Z,2026-03-30 02:52:47+00:00,4.3,NOASSERTION,False,198676.0,,,393.0,321.0,javascript; php,github-action; github-action-workflow; npm; php-composer,328.0,4.0,1.25,7.0,6.0,0.0,2.0,2.0,3.0,7.0,0.0,5.06,8.5,0.03,0.09,0.0,0.0,javascript; php,npm; php-composer,CWE-647; CWE-668; CWE-693; NVD-CWE-Other; CWE-74,100.0,0.0,True
https://github.com/Exim/exim,EXIM,Mail Server,Email Software,252,62,117.0,27,780.0,189.0,26.0,69.0,C,2011-11-18T10:56:08Z,2026-03-29T18:27:46Z,2025-12-29 00:15:32+00:00,master,,True,86671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False
https://github.com/ExpressionEngine/ExpressionEngine,EllisLab,EllisLab ExpressionEngine,Web Content Management Systems,45542,34898,16978.0,9888,499.0,132.0,426.0,27.0,PHP,2018-11-12T23:49:23Z,2026-03-30T06:10:25Z,2026-03-30 12:32:37+00:00,7.dev,NOASSERTION,False,366163.0,,,495.0,451.0,javascript; php,github-action; npm; php-composer,456.0,23.0,5.1,37.0,34.0,3.0,16.0,13.0,5.0,36.0,1.0,6.69,9.8,5.31,84.52,0.06,0.92,javascript; php,github-action; npm; php-composer,CWE-1050; CWE-400; CWE-1321; CWE-1321; CWE-770; CWE-1333; CWE-1333; CWE-400; CWE-20; CWE-22; CWE-61; CWE-330; CWE-400; CWE-407; CWE-502; CWE-506; NVD-CWE-Other; CWE-59; CWE-74; CWE-74; CWE-77; CWE-754; CWE-770; CWE-835; CWE-94,97.3,0.04,True
