Library Name,Versions Found,Total Products Using It,Affected Products,Total Enterprises Exposed,Total CVEs,Worst Severity,# Critical,# High,# Medium,# Low,Fix Available
domutils,"1.1.6, 1.5.1, 1.7.0, 2.1.0, 2.8.0, 3.0.1, 3.1.0, 3.2.2",41,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Mahout, Apache Tez, Apache YARN, Apollo Client, Bolt, CKEditor, Cacti, Commerce Software, Druid, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, LocomotiveCMS, Neos, Orchard CMS, OrientDB, Presto, Prometheus, Quill, Ravenjs, React, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, ZURB Foundation, Zabbix, dotCMS",3411585,0,—,0,0,0,0,—
lodash.debounce,"3.1.1, 4.0.8",39,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Mahout, Apache YARN, Apollo Client, CKEditor, Commerce Software, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, Meteor, Neos, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium IDE, Shopware, Thelia, WooCommerce, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3409513,0,—,0,0,0,0,—
magic-string,"0.24.1, 0.25.1, 0.25.9, 0.26.2, 0.26.7, 0.27.0, 0.30.1, 0.30.11, 0.30.12, 0.30.17, 0.30.19, 0.30.21, 0.30.5, 0.30.7, 0.30.8",32,"Angular Material, AngularJS, Apollo Client, CKEditor, CloudStack, Commerce Software, D3js, Discourse, Emberjs, Ghost, Grafana, HHVM, Ionic Framework, JetPack, Joomla, Less, Liferay, Meteor, Node js, NopCommerce, Orchard CMS, Piwik, Ravenjs, React, Ruby on Rails, Rundeck, Shopsys Framework, Shopware, SpreeCommerc, WooCommerce, XWiki, dotCMS",3407825,0,—,0,0,0,0,—
interpret,"0.6.6, 1.0.1, 1.0.3, 1.0.4, 1.1.0, 1.2.0, 1.4.0, 2.2.0, 3.1.1",35,"AngularJS, Commerce Software, Concrete5, Countly, Druid, Drupal, Ghost, GoCD, Grafana, HHVM, Jahia, Jenkins, JetPack, Less, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, MovableType, Neos, Open Web Analytics, Orchard CMS, OrientDB, Presto, Ravenjs, React, React Native, Rundeck, Selenium IDE, Shopware, Thelia, WooCommerce, ZURB Foundation, dotCMS, phpMyAdmin",3403109,0,—,0,0,0,0,—
is-typedarray,1.0.0,33,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Mahout, Apache Tez, Apache YARN, Apollo Client, Bolt, CKEditor, CloudStack, Concrete5, Countly, Druid, EllisLab ExpressionEngine, Ghost, Grafana, HHVM, Ionic Framework, JetPack, Less, Liferay, LocomotiveCMS, Neos, Piwik, Ravenjs, React, Ruby on Rails, WooCommerce, ZURB Foundation, dotCMS",3399898,0,—,0,0,0,0,—
abbrev,"0.1.2, 1.0.9, 1.1.0, 1.1.1, 2.0.0, 3.0.0, 3.0.1, 4.0.0",40,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache NiFi, Apache Tez, Apache YARN, CKEditor, CloudStack, Commerce Software, Concrete5, Countly, Discourse, Druid, Drupal, Emberjs, Ghost, GoCD, Grafana, HHVM, Jenkins, Less, Liferay, Liveblog, LocomotiveCMS, Neos, NopCommerce, Opscode Chef, Orchard CMS, Ravenjs, React, Shopsys Framework, Shopware, WooCommerce, XWiki, ZURB Foundation, Zabbix, dotCMS",3398782,0,—,0,0,0,0,—
rechoir,"0.6.2, 0.7.0, 0.7.1, 0.8.0",33,"AngularJS, Commerce Software, Concrete5, Countly, Druid, Drupal, Ghost, GoCD, Grafana, HHVM, Jahia, Jenkins, JetPack, Less, Liferay, Live Helper Chat, Meteor, MovableType, Neos, Open Web Analytics, Orchard CMS, Presto, Ravenjs, React, React Native, Rundeck, Selenium IDE, Shopware, Thelia, WooCommerce, ZURB Foundation, dotCMS, phpMyAdmin",3398624,0,—,0,0,0,0,—
progress,"1.1.8, 2.0.0, 2.0.1, 2.0.3, 3.6.0",35,"ASP NET, Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, CKEditor, CloudStack, Countly, Cucumberjs, Discourse, EllisLab ExpressionEngine, Grafana, Ionic Framework, Jahia, JetPack, Less, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, Piwik, Ravenjs, React, React Native, Rust, Selenium IDE, Shopsys Framework, Shopware, WooCommerce, ZURB Foundation",3394867,0,—,0,0,0,0,—
exit,0.1.2,28,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Apollo Client, Countly, Discourse, Emberjs, Ghost, Grafana, Ionic Framework, JetPack, Less, Liferay, LocomotiveCMS, Neos, Presto, Ravenjs, React, React Native, Selenium, Selenium IDE, WooCommerce, phpMyAdmin",3388718,0,—,0,0,0,0,—
ipaddr.js,"1.1.1, 1.3.0, 1.4.0, 1.5.2, 1.9.0, 1.9.1, 2.0.1, 2.1.0, 2.2.0, 2.3.0",35,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Mahout, Apache Tez, Apache YARN, Apollo Client, Bolt, Commerce Software, Countly, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Hbase, Ionic Framework, JetPack, Liferay, Meteor, Orchard CMS, OrientDB, Presto, Ravenjs, React, Selenium, Selenium IDE, Thelia, WooCommerce, dotCMS",3383558,0,—,0,0,0,0,—
merge-descriptors,"1.0.1, 1.0.3, 2.0.0",35,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Mahout, Apache Tez, Apache YARN, Apollo Client, Bolt, Commerce Software, Countly, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Hbase, Ionic Framework, JetPack, Liferay, Meteor, Orchard CMS, OrientDB, Presto, Ravenjs, React, Selenium, Selenium IDE, Thelia, WooCommerce, dotCMS",3383558,0,—,0,0,0,0,—
proxy-addr,"1.1.2, 1.1.4, 1.1.5, 2.0.2, 2.0.5, 2.0.6, 2.0.7",35,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Mahout, Apache Tez, Apache YARN, Apollo Client, Bolt, Commerce Software, Countly, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Hbase, Ionic Framework, JetPack, Liferay, Meteor, Orchard CMS, OrientDB, Presto, Ravenjs, React, Selenium, Selenium IDE, Thelia, WooCommerce, dotCMS",3383558,0,—,0,0,0,0,—
meow,"10.1.5, 13.2.0, 14.1.0, 3.7.0, 4.0.1, 5.0.0, 6.0.0, 6.1.1, 8.1.2, 9.0.0",24,"Angular Material, AngularJS, Apache Ambari, Bolt, CKEditor, Discourse, Druid, Drupal, Emberjs, Ghost, GoCD, Grafana, Jenkins, JetPack, Liferay, LocomotiveCMS, Neos, Python, React, Selenium IDE, Thelia, WooCommerce, ZURB Foundation, phpMyAdmin",3366012,0,—,0,0,0,0,—
is-docker,"2.0.0, 2.1.1, 2.2.1, 3.0.0",37,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Commerce Software, Discourse, Druid, Drupal, EllisLab ExpressionEngine, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, JetPack, Liferay, LocomotiveCMS, Meteor, Node js, Orchard CMS, OrientDB, Presto, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopware, Thelia, Umbraco, WooCommerce, XWiki, ZURB Foundation, dotCMS",3360193,0,—,0,0,0,0,—
methods,"0.0.1, 1.1.2",36,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Mahout, Apache Tez, Apache YARN, Apollo Client, Bolt, CKEditor, Commerce Software, Countly, Discourse, Druid, Emberjs, Ghost, HHVM, Hbase, Ionic Framework, JetPack, Liferay, Meteor, Node js, Orchard CMS, OrientDB, Piwik, Presto, Ravenjs, React, Selenium, Selenium IDE, Thelia, WooCommerce, dotCMS",3341196,0,—,0,0,0,0,—
nopt,"1.0.10, 3.0.6, 4.0.1, 4.0.3, 5.0.0, 6.0.0, 7.2.0, 7.2.1, 8.1.0, 9.0.0",39,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache NiFi, Apache Tez, Apache YARN, CKEditor, CloudStack, Commerce Software, Concrete5, Countly, Discourse, Druid, Drupal, Emberjs, Ghost, GoCD, Grafana, HHVM, Jenkins, Less, Liferay, Liveblog, LocomotiveCMS, Neos, NopCommerce, Orchard CMS, Ravenjs, React, Shopsys Framework, Shopware, WooCommerce, XWiki, ZURB Foundation, Zabbix, dotCMS",3340694,0,—,0,0,0,0,—
css-tree,"1.0.0-alpha.29, 1.0.0-alpha.33, 1.0.0-alpha.37, 1.0.0-alpha.39, 1.1.3, 2.2.1, 2.3.1, 3.0.1, 3.1.0, 3.2.1",34,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Cacti, Commerce Software, Discourse, Druid, Drupal, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, LocomotiveCMS, Neos, Quill, Ravenjs, React, Selenium IDE, Shopware, TYPO3, Thelia, WooCommerce, XWiki, Zabbix, dotCMS, phpMyAdmin",3335075,0,—,0,0,0,0,—
mdn-data,"1.1.4, 2.0.14, 2.0.28, 2.0.30, 2.0.4, 2.0.6, 2.12.1, 2.12.2, 2.21.0, 2.27.1",34,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Cacti, Commerce Software, Discourse, Druid, Drupal, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, LocomotiveCMS, Neos, Quill, Ravenjs, React, Selenium IDE, Shopware, TYPO3, Thelia, WooCommerce, XWiki, Zabbix, dotCMS, phpMyAdmin",3335075,0,—,0,0,0,0,—
actions/setup-java,"5.0.0, be666c2fcd27ec809703dec50e508c2fdc7f6654, v1, v2.3.0, v3, v4, v4.6.0, v5, v5.2.0",48,"Apache Accumulo, Apache Cassandra, Apache Drill, Apache Flume, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache JMeter, Apache Kafka, Apache MINA, Apache NiFi, Apache Spark, Apache Spark Streaming, Apache Storm, Apache Tez, Apache Tomcat, Apache YARN, Apache Zookeeper, Clojure, CloudStack, Druid, EasyMock, FitNesse, GlassFish, Hbase, Hive, JBoss Enterprise Application Server  EAS , Jahia, Jenkins, Jetty, Jython, Liferay, Lift, Liquibase, Oracle NetBeans, OrientDB, Piwik, Presto, Puppet Labs, React, React Native, Rundeck, Scala, Spring, TestNG, Virto Commerce, ZK, Zabbix",3326259,0,—,0,0,0,0,—
global-prefix,"0.1.5, 1.0.2, 3.0.0, 4.0.0",33,"Angular Material, AngularJS, Apollo Client, Bolt, CKEditor, Countly, Discourse, Druid, Drupal, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jahia, Jenkins, JetPack, Less, Liferay, Live Helper Chat, LocomotiveCMS, Neos, Piwik, Plotly, Ravenjs, React, Selenium IDE, Thelia, WooCommerce, ZURB Foundation, dotCMS, phpMyAdmin",3325765,0,—,0,0,0,0,—
cssesc,"0.1.0, 2.0.0, 3.0.0",36,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Discourse, Druid, Drupal, Emberjs, Ghost, GoCD, Grafana, HHVM, Hbase, Ionic Framework, Jenkins, JetPack, Liferay, LocomotiveCMS, Neos, Node js, Orchard CMS, OrientDB, Piwik, Presto, Ravenjs, React, Selenium IDE, Shopware, Thelia, WooCommerce, XWiki, cube net, dotCMS, phpMyAdmin",3324974,0,—,0,0,0,0,—
postcss-selector-parser,"2.2.2, 2.2.3, 3.1.1, 3.1.2, 6.0.10, 6.0.13, 6.0.16, 6.0.2, 6.0.4, 6.1.2, 7.0.0, 7.1.0, 7.1.1",36,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Discourse, Druid, Drupal, Emberjs, Ghost, GoCD, Grafana, HHVM, Hbase, Ionic Framework, Jenkins, JetPack, Liferay, LocomotiveCMS, Neos, Node js, Orchard CMS, OrientDB, Piwik, Presto, Ravenjs, React, Selenium IDE, Shopware, Thelia, WooCommerce, XWiki, cube net, dotCMS, phpMyAdmin",3324974,0,—,0,0,0,0,—
global-modules,"0.2.3, 1.0.0, 2.0.0",32,"Angular Material, AngularJS, Apollo Client, Bolt, CKEditor, Countly, Discourse, Druid, Drupal, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jahia, Jenkins, JetPack, Less, Liferay, Live Helper Chat, LocomotiveCMS, Neos, Piwik, Ravenjs, React, Selenium IDE, Thelia, WooCommerce, ZURB Foundation, dotCMS, phpMyAdmin",3320286,0,—,0,0,0,0,—
@isaacs/cliui,"8.0.2, 9.0.0",31,"Angular Material, AngularJS, Apache NiFi, Apollo Client, CKEditor, Commerce Software, Countly, Cucumberjs, Discourse, Drupal, Emberjs, Ghost, GoCD, Grafana, Less, Liferay, Liveblog, Meteor, Orchard CMS, Piwik, Quill, Ravenjs, React, Selenium, Selenium IDE, Shopsys Framework, Shopware, WooCommerce, XWiki, ZURB Foundation, dotCMS",3318098,0,—,0,0,0,0,—
jackspeak,"2.2.1, 2.3.0, 2.3.6, 3.1.2, 3.4.0, 3.4.3, 4.0.1, 4.1.0, 4.1.1, 4.2.3",31,"Angular Material, AngularJS, Apache NiFi, Apollo Client, CKEditor, Commerce Software, Countly, Cucumberjs, Discourse, Drupal, Emberjs, Ghost, GoCD, Grafana, Less, Liferay, Liveblog, Meteor, Orchard CMS, Piwik, Quill, Ravenjs, React, Selenium, Selenium IDE, Shopsys Framework, Shopware, WooCommerce, XWiki, ZURB Foundation, dotCMS",3318098,0,—,0,0,0,0,—
base64-js,"0.0.8, 1.2.0, 1.2.1, 1.3.0, 1.3.1, 1.5.1",36,"ASP NET, Angular Material, AngularJS, Bolt, CKEditor, CloudStack, Countly, Discourse, Druid, Drupal, EllisLab ExpressionEngine, Emberjs, Ghost, Grafana, HHVM, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, NopCommerce, OrientDB, Piwik, Quill, Ravenjs, React, React Native, Ruby on Rails, Rust, Selenium IDE, Shopsys Framework, Shopware, WooCommerce, XWiki, ZURB Foundation, dotCMS",3317018,0,—,0,0,0,0,—
decimal.js,"10.2.1, 10.3.1, 10.4.0, 10.4.1, 10.4.2, 10.4.3, 10.5.0, 10.6.0",26,"Angular Material, AngularJS, Apollo Client, Commerce Software, Discourse, Drupal, Emberjs, Ghost, Grafana, Ionic Framework, JetPack, Liferay, LocomotiveCMS, Piwik, Presto, Ravenjs, React, Selenium, Selenium IDE, Shopsys Framework, Shopware, TYPO3, WooCommerce, XWiki, dotCMS, phpMyAdmin",3313412,0,—,0,0,0,0,—
open,"0.0.5, 10.1.0, 10.1.2, 10.2.0, 11.0.0, 6.4.0, 7.0.2, 7.4.2, 8.4.0, 8.4.2, 9.1.0",32,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Druid, Drupal, EllisLab ExpressionEngine, Ghost, Grafana, HHVM, Ionic Framework, JetPack, Liferay, Meteor, Node js, Orchard CMS, OrientDB, Presto, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopware, Thelia, Umbraco, WooCommerce, XWiki, ZURB Foundation, dotCMS",3307390,0,—,1,0,0,0,—
@babel/generator,"7.0.0-beta.44, 7.10.5, 7.11.0, 7.11.6, 7.12.0, 7.12.1, 7.12.5, 7.15.8, 7.17.7, 7.17.9, 7.18.12, 7.18.2, 7.2.0, 7.20.14, 7.21.3, 7.21.5, 7.22.10, 7.22.15, 7.22.5, 7.22.9, 7.23.0, 7.23.3, 7.23.6, 7.24.4, 7.24.5, 7.25.0, 7.25.6, 7.26.10, 7.26.2, 7.26.3, 7.26.5, 7.26.9, 7.27.0, 7.27.1, 7.28.0, 7.28.3, 7.28.5, 7.28.6, 7.29.1, 7.4.0, 7.4.4, 7.7.2, 7.8.3, 8.0.0-rc.3",42,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Commerce Software, Concrete5, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, Liveblog, LocomotiveCMS, Meteor, Neos, Node js, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3307339,0,—,0,0,0,0,—
@babel/helper-module-imports,"7.0.0, 7.10.4, 7.12.1, 7.12.5, 7.13.12, 7.15.4, 7.16.7, 7.18.6, 7.21.4, 7.22.15, 7.22.5, 7.24.3, 7.24.7, 7.25.9, 7.27.1, 7.28.6, 7.7.0",41,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Commerce Software, Concrete5, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, Liveblog, LocomotiveCMS, Meteor, Neos, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3307339,0,—,0,0,0,0,—
@babel/template,"7.0.0-beta.44, 7.10.4, 7.12.13, 7.12.7, 7.15.4, 7.16.7, 7.18.10, 7.20.7, 7.22.15, 7.22.5, 7.24.0, 7.25.0, 7.25.9, 7.26.9, 7.27.0, 7.27.1, 7.27.2, 7.28.6, 7.4.0, 7.4.4, 7.7.0, 7.8.3, 8.0.0-rc.3",42,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Commerce Software, Concrete5, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, Liveblog, LocomotiveCMS, Meteor, Neos, Node js, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3307339,0,—,0,0,0,0,—
@babel/compat-data,"7.10.5, 7.11.0, 7.12.0, 7.14.4, 7.15.0, 7.17.10, 7.17.7, 7.18.8, 7.20.14, 7.21.7, 7.22.20, 7.22.5, 7.22.6, 7.22.9, 7.23.2, 7.23.3, 7.23.5, 7.24.4, 7.24.6, 7.25.2, 7.25.4, 7.26.0, 7.26.2, 7.26.3, 7.26.5, 7.26.8, 7.27.1, 7.27.2, 7.27.3, 7.27.5, 7.28.0, 7.28.4, 7.28.5, 7.28.6, 7.29.0, 8.0.0-rc.3",41,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Commerce Software, Concrete5, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, Node js, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3307335,0,—,0,0,0,0,—
@babel/core,"7.10.5, 7.12.0, 7.12.3, 7.12.9, 7.14.3, 7.18.10, 7.18.2, 7.2.0, 7.20.12, 7.21.8, 7.22.10, 7.22.20, 7.22.5, 7.22.6, 7.22.9, 7.23.2, 7.23.3, 7.23.6, 7.24.0, 7.24.4, 7.24.5, 7.25.2, 7.25.7, 7.26.0, 7.26.10, 7.26.7, 7.26.9, 7.27.1, 7.27.4, 7.28.0, 7.28.3, 7.28.4, 7.28.5, 7.28.6, 7.29.0, 7.4.0, 7.7.2, 8.0.0-rc.3",41,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Commerce Software, Concrete5, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, Node js, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3307335,0,—,0,0,0,0,—
@babel/helper-compilation-targets,"7.10.4, 7.12.0, 7.14.4, 7.15.4, 7.17.7, 7.18.2, 7.18.9, 7.20.7, 7.21.5, 7.22.10, 7.22.15, 7.22.5, 7.22.6, 7.23.6, 7.25.2, 7.25.9, 7.26.5, 7.27.0, 7.27.1, 7.27.2, 7.28.6, 8.0.0-rc.3",41,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Commerce Software, Concrete5, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, Node js, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3307335,0,—,0,0,0,0,—
@babel/helper-module-transforms,"7.10.5, 7.11.0, 7.12.0, 7.12.1, 7.14.2, 7.15.8, 7.17.7, 7.18.0, 7.18.9, 7.20.11, 7.21.2, 7.21.5, 7.22.20, 7.22.5, 7.22.9, 7.23.0, 7.23.3, 7.24.5, 7.25.2, 7.26.0, 7.27.1, 7.27.3, 7.28.3, 7.28.6, 7.4.4",40,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Commerce Software, Concrete5, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3307335,0,—,0,0,0,0,—
@babel/helper-validator-option,"7.12.0, 7.12.17, 7.14.5, 7.16.7, 7.18.6, 7.21.0, 7.22.15, 7.22.5, 7.23.5, 7.24.6, 7.24.8, 7.25.9, 7.27.1, 8.0.0-rc.3",41,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Commerce Software, Concrete5, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, Node js, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3307335,0,—,0,0,0,0,—
gensync,"1.0.0-beta.1, 1.0.0-beta.2",41,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Commerce Software, Concrete5, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, Node js, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3307335,0,—,0,0,0,0,—
@babel/helper-plugin-utils,"7.0.0, 7.10.4, 7.14.5, 7.16.7, 7.17.12, 7.18.9, 7.19.0, 7.20.2, 7.21.5, 7.22.5, 7.24.0, 7.24.5, 7.24.8, 7.25.9, 7.26.5, 7.27.1, 7.28.6, 7.8.3, 8.0.0-rc.3",40,"Angular Material, AngularJS, Apache Mahout, Apollo Client, CKEditor, Commerce Software, Concrete5, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, Node js, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3306496,0,—,0,0,0,0,—
buffer,"3.6.0, 4.3.1, 4.9.1, 4.9.2, 5.2.1, 5.4.0, 5.6.0, 5.7.1, 6.0.3",34,"ASP NET, Angular Material, AngularJS, Bolt, CKEditor, Countly, Discourse, Druid, Drupal, EllisLab ExpressionEngine, Emberjs, Ghost, Grafana, HHVM, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, OrientDB, Piwik, Quill, Ravenjs, React, React Native, Ruby on Rails, Rust, Selenium IDE, Shopsys Framework, Shopware, WooCommerce, XWiki, ZURB Foundation, dotCMS",3302736,0,—,0,0,0,0,—
figures,"1.7.0, 2.0.0, 3.2.0, 5.0.0, 6.1.0",33,"AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Mahout, Apache YARN, Countly, Cucumberjs, Discourse, Druid, Emberjs, Ghost, Grafana, HHVM, Jahia, JetPack, Less, Liferay, Live Helper Chat, Neos, Piwik, Ravenjs, React, React Native, Selenium IDE, Shopsys Framework, Shopware, SpreeCommerc, WooCommerce, XWiki, ZURB Foundation, dotCMS",3301744,0,—,0,0,0,0,—
jsbn,"0.1.0, 0.1.1, 1.1.0",27,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Bolt, CloudStack, Concrete5, Countly, Druid, Drupal, EllisLab ExpressionEngine, Ghost, Grafana, Less, Liferay, LocomotiveCMS, Neos, Piwik, React, Ruby on Rails, WooCommerce, ZURB Foundation, dotCMS",3296752,0,—,0,0,0,0,—
@ungap/structured-clone,"1.2.0, 1.2.1, 1.3.0",27,"AngularJS, Apache Mahout, Apollo Client, CKEditor, D3js, Druid, Drupal, Ghost, HHVM, Hbase, Ionic Framework, Jenkins, JetPack, Liferay, Node js, Presto, Quill, Ravenjs, React, React Native, Rust, Selenium, WooCommerce, XWiki, ZK, dotCMS, phpMyAdmin",3296102,0,—,0,0,0,0,—
bluebird,"1.0.3, 2.11.0, 2.9.6, 3.4.7, 3.5.0, 3.5.1, 3.5.5, 3.7.1, 3.7.2",34,"AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Apollo Client, Bolt, CKEditor, CloudStack, Countly, Discourse, Druid, EllisLab ExpressionEngine, Ghost, Grafana, Ionic Framework, Jahia, Less, Liferay, LocomotiveCMS, Neos, Orchard CMS, Piwik, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopware, WooCommerce, ZURB Foundation, dotCMS",3295362,0,—,0,0,0,0,—
