Library Name,Versions Found,Total Products Using It,Affected Products,Total Enterprises Exposed,Total CVEs,Worst Severity,# Critical,# High,# Medium,# Low,Fix Available
ejs,"2.7.4, 3.1.10, 3.1.8, 3.1.9, 5.0.1",20,"Angular Material, AngularJS, Apollo Client, Bolt, Countly, Discourse, Drupal, Emberjs, GoCD, Grafana, Ionic Framework, Ravenjs, React, Selenium, Selenium IDE, Shopware, WooCommerce, XWiki, Zabbix, dotCMS",2934072,2,Critical,1,0,4,0,Yes
shell-quote,"1.6.1, 1.7.1, 1.7.2, 1.7.3, 1.8.0, 1.8.1, 1.8.2, 1.8.3",32,"Angular Material, AngularJS, Apache Ambari, Apache Mahout, Apollo Client, Bolt, Discourse, Druid, Emberjs, Ghost, GoCD, HHVM, Ionic Framework, JetPack, Less, Liferay, Live Helper Chat, Meteor, Neos, Orchard CMS, OrientDB, Piwik, Presto, Ravenjs, React, React Native, Selenium IDE, Shopsys Framework, Shopware, WooCommerce, XWiki, dotCMS",2933869,1,Critical,3,0,0,0,Yes
url-parse,"1.0.5, 1.1.7, 1.1.9, 1.2.0, 1.5.1, 1.5.10",23,"ASP NET, Apollo Client, Bolt, Commerce Software, Drupal, Emberjs, Ghost, GoCD, Grafana, Ionic Framework, JetPack, Liferay, Piwik, Presto, Ravenjs, React, Selenium, Selenium IDE, Shopsys Framework, Umbraco, WooCommerce, dotCMS, phpMyAdmin",2717458,8,Critical,9,0,28,0,Yes
loader-utils,"0.2.16, 0.2.17, 1.1.0, 1.2.3, 1.4.0, 1.4.2, 2.0.0, 2.0.2, 2.0.4, 3.2.0, 3.2.1, 3.3.1",31,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, CloudStack, Discourse, Druid, EllisLab ExpressionEngine, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, LocomotiveCMS, Neos, Orchard CMS, OrientDB, Ravenjs, React, Shopware, Thelia, WooCommerce, cube net, dotCMS",2714835,3,Critical,18,34,0,0,Yes
tree-kill,"1.2.1, 1.2.2",21,"Angular Material, AngularJS, Commerce Software, Countly, Discourse, EllisLab ExpressionEngine, Emberjs, Ghost, Grafana, JetPack, Liferay, Neos, Orchard CMS, Ravenjs, React, Shopsys Framework, Shopware, SpreeCommerc, WooCommerce, XWiki, dotCMS",2402474,2,Critical,1,1,0,0,Yes
deep-extend,"0.2.11, 0.4.1, 0.4.2, 0.5.0, 0.5.1, 0.6.0",22,"Angular Material, AngularJS, Apache Ambari, Apache Mahout, Apollo Client, CKEditor, CloudStack, Countly, Druid, EllisLab ExpressionEngine, Emberjs, Ghost, Grafana, HHVM, Liferay, MovableType, Neos, Node js, Ravenjs, React, WooCommerce, ZURB Foundation",2244537,1,Critical,5,0,0,0,Yes
chrome-launcher,"0.10.5, 0.13.4, 0.14.2, 0.15.1, 0.15.2, 1.1.2, 1.2.1",10,"Angular Material, AngularJS, Discourse, EllisLab ExpressionEngine, Emberjs, JetPack, React, React Native, Shopware, WooCommerce",2188745,1,Critical,1,0,0,0,Yes
basic-ftp,"5.0.5, 5.2.0",11,"Angular Material, AngularJS, CKEditor, Countly, Discourse, Grafana, JetPack, React, Rust, Shopware, WooCommerce",2174624,1,Critical,3,0,0,0,Yes
eslint-utils,"1.3.1, 1.4.3, 2.1.0, 3.0.0",16,"Discourse, Emberjs, Ghost, Ionic Framework, Jahia, Less, Liferay, Live Helper Chat, Neos, Ravenjs, React, Selenium, Selenium IDE, Thelia, WooCommerce, ZURB Foundation",2109511,1,Critical,1,0,0,0,Yes
immer,"10.0.3, 10.2.0, 11.1.3, 11.1.4, 8.0.1, 9.0.14, 9.0.15, 9.0.21",14,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache NiFi, Apache YARN, Apollo Client, Discourse, Druid, Grafana, HHVM, Ionic Framework, Prometheus, React, WooCommerce",1945093,2,Critical,1,1,0,0,Yes
