Library Name,Version,Total Products Using It,Affected Products,Total Enterprises Exposed,Total CVEs,Worst Severity,# Critical,# High,# Medium,# Low,Fix Available
mocha,10.3.0,2,"D3js, Drupal",369522,0,—,0,0,0,0,—
workerpool,6.2.1,2,"D3js, Drupal",369522,0,—,0,0,0,0,—
cross-spawn-async,2.2.5,7,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Liferay, ZURB Foundation",369452,0,—,0,0,0,0,—
broccoli-caching-writer,2.3.1,8,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Discourse, Emberjs",368459,0,—,0,0,0,0,—
broccoli-kitchen-sink-helpers,0.2.9,8,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Discourse, Emberjs",368459,0,—,0,0,0,0,—
broccoli-plugin,1.1.0,8,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Discourse, Emberjs",368459,0,—,0,0,0,0,—
sri-toolbox,0.2.0,8,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Discourse, Emberjs",368459,0,—,0,0,0,0,—
walk-sync,0.2.7,8,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Discourse, Emberjs",368459,0,—,0,0,0,0,—
@types/uuid,10.0.0,4,"Cucumberjs, Grafana, Liferay, Ravenjs",367915,0,—,0,0,0,0,—
pathutil,0.16.2,5,"Apache Spark, Apache Spark Streaming, EasyMock, Marathon, Scala",367386,0,—,0,0,0,0,—
safe_yaml,1.0.5,5,"Apache Spark, Apache Spark Streaming, EasyMock, Marathon, Scala",367386,0,—,0,0,0,0,—
@testing-library/dom,9.3.4,4,"Liferay, Ravenjs, Selenium, Shopware",366730,0,—,0,0,0,0,—
mariadb-java-client,3.5.7,6,"Apache NiFi, Apache Spark, Apache Spark Streaming, Jetty, Liquibase, XWiki",366011,0,—,0,0,0,0,—
regenerate-unicode-properties,10.1.0,7,"Ghost, HHVM, Liferay, Ravenjs, Selenium IDE, Thelia, ZK",365498,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/backport.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/check-news-changes.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/ci.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/compiler-zoo.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/coveralls.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/cross-compiles.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/fips-checksums.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/fips-label.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/fuzz-checker.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/interop-tests.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/make-release.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/os-zoo.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/oss-fuzz.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/perl-minimal-checker.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/prov-compat-label.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/provider-compatibility.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/riscv-more-cross-compiles.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/run-checker-ci.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/run-checker-daily.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/run-checker-merge.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/run_quic_interop.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/static-analysis-on-prem.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/static-analysis.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/style-checks.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/valgrind-daily.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/windows.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/OpenSSL-OpenSSL/.github/workflows/windows_comp.yml,,1,OpenSSL,364551,0,—,0,0,0,0,—
actions/setup-python,v6.0.0,1,OpenSSL,364551,0,—,0,0,0,0,—
cygwin/cygwin-install-action,f2009323764960f80959895c7bc3bb30210afe4d,1,OpenSSL,364551,0,—,0,0,0,0,—
docker/setup-compose-action,364cc21a5de5b1ee4a7f5f9d3fa374ce0ccde746,1,OpenSSL,364551,0,—,0,0,0,0,—
docker/setup-compose-action,v1.2.0,1,OpenSSL,364551,0,—,0,0,0,0,—
docker/setup-docker-action,efe9e3891a4f7307e689f2100b33a155b900a608,1,OpenSSL,364551,0,—,0,0,0,0,—
docker/setup-docker-action,v4.5.0,1,OpenSSL,364551,0,—,0,0,0,0,—
dtolnay/rust-toolchain,0f44b27771c32bda9f458f75a1e241b09791b331,1,OpenSSL,364551,0,—,0,0,0,0,—
perl-actions/install-with-cpanm,10d60f00b4073f484fc29d45bfbe2f776397ab3d,1,OpenSSL,364551,0,—,0,0,0,0,—
linkify-it,2.2.0,7,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Ghost, Liferay, LocomotiveCMS",364392,0,—,0,0,0,0,—
markupsafe,3.0.3,5,"Ansible, DNS Server, Selenium, Tornado, django CMS",364222,0,—,0,0,0,0,—
typing-extensions,4.15.0,5,"Ansible, DNS Server, Selenium, Tornado, django CMS",364222,0,—,0,0,0,0,—
mypy-extensions,1.1.0,4,"Ansible, Selenium, Tornado, django CMS",363974,0,—,0,0,0,0,—
bcpkix-jdk18on,1.83,6,"Apache NiFi, Apache Spark, Apache Spark Streaming, Apache Storm, Jetty, OrientDB",363777,0,—,0,0,0,0,—
jcl-over-slf4j,2.0.17,6,"Apache NiFi, Apache Spark, Apache Spark Streaming, Druid, GlassFish, Jetty",362493,0,—,0,0,0,0,—
packaging,26.0,4,"Ansible, DNS Server, Selenium, Tornado",362205,0,—,0,0,0,0,—
pluggy,1.6.0,4,"Ansible, DNS Server, Selenium, Tornado",362205,0,—,0,0,0,0,—
tomli,2.4.0,3,"Ansible, Selenium, django CMS",362193,0,—,0,0,0,0,—
platformdirs,4.9.4,3,"Ansible, Selenium, Tornado",361957,0,—,0,0,0,0,—
commons-io,2.21.0,8,"Apache NiFi, Apache Spark, Apache Spark Streaming, Apache Storm, GlassFish, Liquibase, OrientDB, Presto",361914,0,—,0,0,0,0,—
repeating,1.1.3,8,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Commerce Software, Neos",361376,0,—,0,0,0,0,—
sphinxcontrib-applehelp,1.0.2,2,"Linux, Percona XtraDB Cluster",361260,0,—,0,0,0,0,—
sphinxcontrib-htmlhelp,1.0.3,2,"Linux, Percona XtraDB Cluster",361260,0,—,0,0,0,0,—
sphinxcontrib-serializinghtml,1.1.4,2,"Linux, Percona XtraDB Cluster",361260,0,—,0,0,0,0,—
jetty-server,9.4.58.v20250814,8,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Phoenix, Apache YARN, Apache Zookeeper, CloudStack, GridGain",361223,0,—,0,0,0,0,—
jetty-util,9.4.58.v20250814,8,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Phoenix, Apache YARN, Apache Zookeeper, CloudStack, GridGain",361223,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/LINUX-Linux/Documentation/sphinx/min_requirements.txt,,1,Linux,361172,0,—,0,0,0,0,—
/Users/dmk6603/Documents/cloned_repos_oss_swdb/LINUX-Linux/tools/perf/tests/pe-file.exe,,1,Linux,361172,0,—,0,0,0,0,—
pe-file,UNKNOWN,1,Linux,361172,0,—,0,0,0,0,—
sphinx,3.4.3,1,Linux,361172,0,—,0,0,0,0,—
sphinxcontrib-devhelp,1.0.1,1,Linux,361172,0,—,0,0,0,0,—
sphinxcontrib-qthelp,1.0.2,1,Linux,361172,0,—,0,0,0,0,—
errno,0.1.7,7,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Liferay, LocomotiveCMS, Neos",360643,0,—,0,0,0,0,—
iniconfig,2.3.0,3,"Ansible, DNS Server, Selenium",360424,0,—,0,0,0,0,—
github.com/mitchellh/go-homedir,v1.1.0,6,"Alluxio, Grafana, Juju, Prometheus, Sensu, k8s",360367,0,—,0,0,0,0,—
gopkg.in/yaml.v2,v2.4.0,7,"Alluxio, Ethereum, Grafana, Juju, Prometheus, Sensu, k8s",360367,0,—,0,0,0,0,—
tubalmartin/cssmin,v4.1.1,5,"Commerce Software, Concrete5, JetPack, Magento Commerce, PyroCMS",360266,0,—,0,0,0,0,—
pytest-mock,3.15.1,2,"Ansible, Selenium",360176,0,—,0,0,0,0,—
@standard-schema/spec,1.0.0,7,"CKEditor, Ghost, Grafana, HHVM, Hbase, Prometheus, Ravenjs",360000,0,—,0,0,0,0,—
@types/react-transition-group,4.4.12,5,"CKEditor, Grafana, Liferay, Liveblog, Selenium",359497,0,—,0,0,0,0,—
jakarta.ws.rs-api,2.1.6,6,"Alluxio, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Neo4j",359175,0,—,0,0,0,0,—
exists-sync,0.0.3,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Emberjs",359016,0,—,0,0,0,0,—
git-repo-info,1.4.1,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Emberjs",359016,0,—,0,0,0,0,—
linkify-it,1.2.4,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Emberjs",359016,0,—,0,0,0,0,—
jpam,1.1,4,"Apache Drill, Apache Spark, Apache Spark Streaming, Hive",358673,0,—,0,0,0,0,—
broccoli-merge-trees,1.2.4,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Emberjs, Ghost",358586,0,—,0,0,0,0,—
ipaddr.js,1.9.0,5,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Liferay",358310,0,—,0,0,0,0,—
javax.json,1.1.4,5,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Liferay",358310,0,—,0,0,0,0,—
proxy-addr,2.0.5,5,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Liferay",358310,0,—,0,0,0,0,—
github.com/fxamacker/cbor/v2,v2.9.0,4,"Grafana, Juju, Prometheus, k8s",357835,0,—,0,0,0,0,—
github.com/gorilla/websocket,v1.5.4-0.20250319132907-e064f32e3674,4,"Grafana, Juju, Prometheus, k8s",357835,0,—,0,0,0,0,—
github.com/kr/text,v0.2.0,5,"Ethereum, Grafana, Juju, Prometheus, k8s",357835,0,—,0,0,0,0,—
github.com/kylelemons/godebug,v1.1.0,5,"Ethereum, Grafana, Juju, Prometheus, k8s",357835,0,—,0,0,0,0,—
github.com/mattn/go-colorable,v0.1.14,4,"Grafana, Juju, Prometheus, k8s",357835,0,—,0,0,0,0,—
github.com/mattn/go-isatty,v0.0.20,5,"Ethereum, Grafana, Juju, Prometheus, k8s",357835,0,—,0,0,0,0,—
github.com/modern-go/reflect2,v1.0.3-0.20250322232337-35a7c28c31ee,4,"Grafana, Juju, Prometheus, k8s",357835,0,—,0,0,0,0,—
github.com/rogpeppe/go-internal,v1.14.1,5,"Ethereum, Grafana, Juju, Prometheus, k8s",357835,0,—,0,0,0,0,—
go.uber.org/goleak,v1.3.0,5,"Ethereum, Grafana, Juju, Prometheus, k8s",357835,0,—,0,0,0,0,—
golang.org/x/mod,v0.33.0,4,"Grafana, Juju, Prometheus, k8s",357835,0,—,0,0,0,0,—
golang.org/x/tools,v0.42.0,4,"Grafana, Juju, Prometheus, k8s",357835,0,—,0,0,0,0,—
cel.dev/expr,v0.25.1,3,"Grafana, Prometheus, k8s",357297,0,—,0,0,0,0,—
github.com/fatih/color,v1.18.0,3,"Grafana, Prometheus, k8s",357297,0,—,0,0,0,0,—
github.com/gobwas/glob,v0.2.3,3,"Grafana, Prometheus, k8s",357297,0,—,0,0,0,0,—
github.com/hashicorp/go-version,v1.8.0,3,"Grafana, Prometheus, k8s",357297,0,—,0,0,0,0,—
github.com/hexops/gotextdiff,v1.0.3,3,"Grafana, Prometheus, k8s",357297,0,—,0,0,0,0,—
github.com/prometheus/common,v0.67.5,3,"Grafana, Prometheus, k8s",357297,0,—,0,0,0,0,—
github.com/rivo/uniseg,v0.4.7,3,"Grafana, Prometheus, k8s",357297,0,—,0,0,0,0,—
github.com/santhosh-tekuri/jsonschema/v6,v6.0.2,3,"Grafana, Prometheus, k8s",357297,0,—,0,0,0,0,—
gopkg.in/evanphx/json-patch.v4,v4.13.0,3,"Grafana, Prometheus, k8s",357297,0,—,0,0,0,0,—
sigs.k8s.io/json,v0.0.0-20250730193827-2d320260d730,3,"Grafana, Prometheus, k8s",357297,0,—,0,0,0,0,—
stacktrace-parser,0.1.10,2,"Drupal, React Native",356569,0,—,0,0,0,0,—
log4j-slf4j-impl,2.25.3,5,"Apache Flink, Apache Phoenix, GridGain, Hbase, Hive",355908,0,—,0,0,0,0,—
axe-core,4.11.1,8,"Angular Material, Grafana, JetPack, Liferay, Shopsys Framework, Shopware, XWiki, dotCMS",355715,0,—,0,0,0,0,—
commons-collections,3.2.2,7,"Apache Ambari, Apache Flink, Apache Flume, Apache Kylin, Apache Storm, GridGain, Hive",355211,0,—,0,0,0,0,—
jetty-servlet,9.4.58.v20250814,6,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Phoenix, Apache YARN, Apache Zookeeper",353062,0,—,0,0,0,0,—
xercesImpl,2.12.2,9,"Apache Drill, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Kylin, Apache YARN, CloudStack, Jahia, Jython",352880,0,—,0,0,0,0,—
hadoop-shaded-guava,1.5.0,5,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache NiFi, Apache YARN",351187,0,—,0,0,0,0,—
commons-text,1.10.0,6,"Apache Ambari, Apache Drill, Apache Flink, Apache Flume, Hive, Jahia",350406,0,—,0,0,0,0,—
enhanced-resolve,5.18.3,5,"Discourse, Drupal, Meteor, Presto, dotCMS",350170,0,—,0,0,0,0,—
lodash.padstart,4.6.1,8,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Druid, Neos",349656,0,—,0,0,0,0,—
github.com/moby/term,v0.5.2,3,"Docker, Prometheus, Swarm",349315,0,—,0,0,0,0,—
hadoop-minikdc,3.4.3,4,"Apache NiFi, Apache Spark, Apache Spark Streaming, Hbase",349041,0,—,0,0,0,0,—
@ckeditor/ckeditor5-alignment,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-autoformat,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-basic-styles,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-block-quote,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-clipboard,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-code-block,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-core,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-editor-classic,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-editor-decoupled,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-editor-multi-root,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-engine,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-enter,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-essentials,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-find-and-replace,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-font,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-fullscreen,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-heading,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-highlight,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-horizontal-line,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-html-support,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-icons,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-image,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-indent,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-language,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-link,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-list,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-mention,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-paragraph,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-paste-from-office,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-remove-format,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-select-all,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-show-blocks,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-source-editing,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-special-characters,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-style,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-table,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-theme-lark,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-typing,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-ui,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-undo,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-upload,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-utils,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-watchdog,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-widget,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
@ckeditor/ckeditor5-word-count,47.6.0,2,"Drupal, TYPO3",348939,0,—,0,0,0,0,—
kew,0.7.0,8,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Live Helper Chat, ZURB Foundation",348058,0,—,0,0,0,0,—
netty-handler,UNKNOWN,8,"Apache Flink, Apache NiFi, Apache Storm, Apache Zookeeper, Druid, JBoss Enterprise Application Server  EAS , Neo4j, Presto",347980,0,—,0,0,0,0,—
read-installed,4.0.3,9,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, GoCD, Neos, Shopsys Framework",347940,0,—,0,0,0,0,—
util-extend,1.0.3,9,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, GoCD, Neos, Shopsys Framework",347940,0,—,0,0,0,0,—
commons-lang3,3.20.0,9,"Apache NiFi, Apache Spark, Apache Spark Streaming, Apache Storm, Druid, GlassFish, Liquibase, OrientDB, ZK",347680,0,—,0,0,0,0,—
httpclient,4.5.14,9,"Apache NiFi, Apache Spark, Apache Spark Streaming, Apache Storm, CloudStack, GlassFish, Jahia, OrientDB, Presto",347440,0,—,0,0,0,0,—
libfb303,0.9.3,4,"Apache Kylin, Apache Spark, Apache Spark Streaming, Hive",347236,0,—,0,0,0,0,—
bluebird,2.11.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, dotCMS",347200,0,—,0,0,0,0,—
broccoli-source,1.1.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Ghost",346171,0,—,0,0,0,0,—
ember-cli-test-info,1.0.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Ghost",346171,0,—,0,0,0,0,—
include-path-searcher,0.1.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Ghost",346171,0,—,0,0,0,0,—
inflection,1.12.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Ghost",346171,0,—,0,0,0,0,—
lru-cache,2.7.3,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Ghost",346171,0,—,0,0,0,0,—
ansi-styles,1.0.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, ZURB Foundation",345207,0,—,0,0,0,0,—
chalk,0.4.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, ZURB Foundation",345207,0,—,0,0,0,0,—
domhandler,2.3.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, ZURB Foundation",345207,0,—,0,0,0,0,—
entities,1.0.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, ZURB Foundation",345207,0,—,0,0,0,0,—
has-color,0.1.7,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, ZURB Foundation",345207,0,—,0,0,0,0,—
htmlparser2,3.8.3,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, ZURB Foundation",345207,0,—,0,0,0,0,—
strip-ansi,0.1.1,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, ZURB Foundation",345207,0,—,0,0,0,0,—
alter,0.2.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, OrientDB",344574,0,—,0,0,0,0,—
simple-fmt,0.1.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, OrientDB",344574,0,—,0,0,0,0,—
simple-is,0.2.0,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, OrientDB",344574,0,—,0,0,0,0,—
stringmap,0.2.2,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, OrientDB",344574,0,—,0,0,0,0,—
stringset,0.2.1,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, OrientDB",344574,0,—,0,0,0,0,—
tryor,0.1.2,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, OrientDB",344574,0,—,0,0,0,0,—
