Vulnerable Library,CVE ID,CVE Severity,Products Affected,Affected Products,Enterprises Exposed
twentytwentyone 2.7.0,N/A,Critical,1,WordPress,2338038
form-data 2.3.3,CVE-2025-7783,Critical,13,"Angular Material, AngularJS, Apache Hadoop, Bolt, CloudStack, Concrete5, Less, Liferay, Neos, Piwik, Ruby on Rails, WooCommerce, ZURB Foundation",1738932
handlebars 4.7.8,CVE-2026-33937,Critical,13,"Angular Material, AngularJS, Apache Hadoop, Discourse, Ghost, Grafana, Liferay, Piwik, Presto, Selenium, Umbraco, WooCommerce, dotCMS",1554822
form-data 4.0.0,CVE-2025-7783,Critical,6,"Commerce Software, Ionic Framework, Liferay, React, WooCommerce, dotCMS",1483954
loader-utils 1.2.3,CVE-2022-37601,Critical,3,"AngularJS, Neos, React",1478878
cipher-base 1.0.4,CVE-2025-9287,Critical,6,"CloudStack, Ghost, Meteor, Neos, React, WooCommerce",1380205
sha.js 2.4.11,CVE-2025-9288,Critical,6,"CloudStack, Ghost, Meteor, Neos, React, WooCommerce",1380205
pbkdf2 3.1.2,CVE-2025-6545,Critical,5,"CloudStack, Ghost, Meteor, React, WooCommerce",1378116
pbkdf2 3.1.2,CVE-2025-6547,Critical,5,"CloudStack, Ghost, Meteor, React, WooCommerce",1378116
elliptic 6.5.4,N/A,Critical,3,"CloudStack, React, WooCommerce",1329919
basic-ftp 5.0.5,CVE-2026-27699,Critical,3,"React, Rust, WooCommerce",1327276
json-schema 0.2.3,CVE-2021-3918,Critical,6,"Apache Ambari, Apache Hadoop, Liferay, Neos, Piwik, React",1216683
minimist 1.2.5,CVE-2021-44906,Critical,4,"Apache Hadoop, Liferay, LocomotiveCMS, React",1119132
form-data 2.1.4,CVE-2025-7783,Critical,4,"Apache Ambari, Apache Hadoop, Neos, React",1096732
loader-utils 1.4.0,CVE-2022-37601,Critical,4,"Ionic Framework, Liferay, Neos, React",1056655
eventsource 0.1.6,CVE-2022-1650,Critical,2,"Piwik, React",1003661
babel-traverse 6.26.0,CVE-2023-45133,Critical,6,"Ghost, Liferay, LocomotiveCMS, Neos, OrientDB, React",1001272
loader-utils 1.1.0,CVE-2022-37601,Critical,3,"Liferay, OrientDB, React",993101
deep-extend 0.4.1,CVE-2018-3750,Critical,2,"Apache Ambari, React",964615
fsevents 1.1.1,CVE-2023-45311,Critical,2,"Apache Ambari, React",964615
fsevents 1.1.1,N/A,Critical,2,"Apache Ambari, React",964615
growl 1.8.1,CVE-2017-16042,Critical,2,"Apache Ambari, React",964615
lodash 4.17.4,CVE-2019-10744,Critical,2,"Apache Ambari, React",964615
loader-utils 2.0.0,CVE-2022-37601,Critical,2,"Druid, React",943519
loader-utils 0.2.16,CVE-2022-37601,Critical,2,"OrientDB, React",940526
lodash 4.17.11,CVE-2019-10744,Critical,2,"Neos, React",938374
pbkdf2 3.1.1,CVE-2025-6545,Critical,2,"Neos, React",938374
pbkdf2 3.1.1,CVE-2025-6547,Critical,2,"Neos, React",938374
loader-utils 0.2.17,CVE-2022-37601,Critical,2,"Bolt, React",937124
chrome-launcher 0.10.5,CVE-2020-7645,Critical,1,React,936285
deep-extend 0.4.2,CVE-2018-3750,Critical,1,React,936285
deep-extend 0.5.0,CVE-2018-3750,Critical,1,React,936285
elliptic 6.4.0,N/A,Critical,1,React,936285
eventsource 1.1.0,CVE-2022-1650,Critical,1,React,936285
form-data 2.1.2,CVE-2025-7783,Critical,1,React,936285
fsevents 1.0.17,CVE-2023-45311,Critical,1,React,936285
fsevents 1.0.17,N/A,Critical,1,React,936285
fsevents 1.1.2,CVE-2023-45311,Critical,1,React,936285
fsevents 1.1.2,N/A,Critical,1,React,936285
fsevents 1.1.3,CVE-2023-45311,Critical,1,React,936285
fsevents 1.1.3,N/A,Critical,1,React,936285
macaddress 0.2.8,CVE-2018-13797,Critical,1,React,936285
open 0.0.5,N/A,Critical,1,React,936285
pbkdf2 3.0.13,CVE-2025-6545,Critical,1,React,936285
pbkdf2 3.0.13,CVE-2025-6547,Critical,1,React,936285
pbkdf2 3.0.14,CVE-2025-6545,Critical,1,React,936285
pbkdf2 3.0.14,CVE-2025-6547,Critical,1,React,936285
sha.js 2.2.6,CVE-2025-9288,Critical,1,React,936285
sha.js 2.4.8,CVE-2025-9288,Critical,1,React,936285
sha.js 2.4.9,CVE-2025-9288,Critical,1,React,936285
shell-quote 1.7.1,CVE-2021-42740,Critical,1,React,936285
url-parse 1.0.5,CVE-2018-3774,Critical,1,React,936285
url-parse 1.0.5,CVE-2022-0686,Critical,1,React,936285
url-parse 1.1.7,CVE-2018-3774,Critical,1,React,936285
url-parse 1.1.7,CVE-2022-0686,Critical,1,React,936285
url-parse 1.1.9,CVE-2018-3774,Critical,1,React,936285
url-parse 1.1.9,CVE-2022-0686,Critical,1,React,936285
url-parse 1.2.0,CVE-2018-3774,Critical,1,React,936285
url-parse 1.2.0,CVE-2022-0686,Critical,1,React,936285
url-parse 1.5.1,CVE-2022-0686,Critical,1,React,936285
form-data 3.0.1,CVE-2025-7783,Critical,3,"Ionic Framework, Liferay, WooCommerce",505232
j178/prek-action v1,N/A,Critical,1,Python,392149
fast-xml-parser 5.3.0,CVE-2026-25896,Critical,1,WooCommerce,386951
form-data 2.5.1,CVE-2025-7783,Critical,1,WooCommerce,386951
locutus 2.0.16,CVE-2026-25521,Critical,1,WooCommerce,386951
locutus 2.0.16,CVE-2026-32304,Critical,1,WooCommerce,386951
simple-git 3.21.0,CVE-2026-28292,Critical,1,WooCommerce,386951
lodash 3.10.1,CVE-2019-10744,Critical,5,"Apache Ambari, Apache Hadoop, Apache Tez, Liferay, Neos",219290
minimist 1.2.0,CVE-2021-44906,Critical,5,"Apache Ambari, Apache Hadoop, Apache Tez, Liferay, Neos",219290
minimist 0.0.8,CVE-2021-44906,Critical,6,"Apache Ambari, Apache Hadoop, Liferay, LocomotiveCMS, Neos, OrientDB",217507
derby 10.14.2.0,CVE-2022-46337,Critical,4,"Apache Hadoop, Apache Oozie, Druid, Jahia",201867
h11 0.14.0,CVE-2025-43859,Critical,1,MongoDB,174761
pillow 10.0.1,CVE-2023-50447,Critical,1,MongoDB,174761
derby 10.16.1.1,CVE-2022-46337,Critical,1,Apache Spark,170568
form-data 1.0.1,CVE-2025-7783,Critical,3,"Apache Ambari, Apache Hadoop, Apache Tez",164626
flink-dashboard 2.0.0,N/A,Critical,1,Apache Flink,159046
log4j-core @log4j.version@,CVE-2021-45046,Critical,1,Apache Flink,159046
socket.io-parser 2.3.1,CVE-2022-2421,Critical,2,"Apache Ambari, Apache Hadoop",158358
xmlhttprequest-ssl 1.5.3,CVE-2020-28502,Critical,2,"Apache Ambari, Apache Hadoop",158358
xmlhttprequest-ssl 1.5.3,CVE-2021-31597,Critical,2,"Apache Ambari, Apache Hadoop",158358
kramdown 1.17.0,CVE-2020-14001,Critical,4,"Apache Mesos, Capistrano, Marathon, Scala",157285
lodash 2.4.2,CVE-2019-10744,Critical,3,"Apache Ambari, Apache Tez, Less",146223
log4j 1.2.17,CVE-2019-17571,Critical,7,"Apache Ambari, Apache Flume, Apache Giraph, Apache Oozie, GlassFish, GridGain, Weka",137789
log4j 1.2.17,CVE-2022-23305,Critical,7,"Apache Ambari, Apache Flume, Apache Giraph, Apache Oozie, GlassFish, GridGain, Weka",137789
log4j 1.2.17,CVE-2022-23307,Critical,7,"Apache Ambari, Apache Flume, Apache Giraph, Apache Oozie, GlassFish, GridGain, Weka",137789
lodash 2.3.0,CVE-2019-10744,Critical,2,"Apache Hadoop, Apache Tez",136296
socket.io-parser 2.2.2,CVE-2022-2421,Critical,2,"Apache Hadoop, Apache Tez",136296
socket.io-parser 2.2.4,CVE-2022-2421,Critical,2,"Apache Hadoop, Apache Tez",136296
xmlhttprequest-ssl 1.5.1,CVE-2020-28502,Critical,2,"Apache Hadoop, Apache Tez",136296
xmlhttprequest-ssl 1.5.1,CVE-2021-31597,Critical,2,"Apache Hadoop, Apache Tez",136296
aquasecurity/trivy-action v0.33.1,CVE-2026-33634,Critical,1,Apache Kafka,130978
htmlunit 2.70.0,CVE-2023-26119,Critical,2,"GlassFish, Hive",130795
apidoc-core 0.8.3,CVE-2025-13158,Critical,1,Apache Hadoop,130028
lodash-es 3.10.1,CVE-2019-10744,Critical,1,Apache Hadoop,130028
logback-classic 1.1.2,CVE-2017-5929,Critical,1,Apache Hadoop,130028
xmldom 0.1.31,CVE-2022-39353,Critical,1,Apache Hadoop,130028
laminas/laminas-http 2.3.1,CVE-2021-3007,Critical,1,Magento Commerce,115807
laminas/laminas-http 2.4.0,CVE-2021-3007,Critical,1,Magento Commerce,115807
laminas/laminas-http 2.8.4,CVE-2021-3007,Critical,1,Magento Commerce,115807
netty 3.10.5.Final,CVE-2019-20444,Critical,1,Hive,115545
plexus-utils 1.5.6,CVE-2017-1000487,Critical,1,Hive,115545
form-data 0.0.8,CVE-2025-7783,Critical,1,Less,111625
lodash 2.4.1,CVE-2019-10744,Critical,1,Less,111625
underscore 1.4.4,CVE-2021-23358,Critical,1,Less,111625
@xmldom/xmldom 0.8.3,CVE-2022-39353,Critical,2,"Ghost, Ravenjs",108209
logback-classic 1.0.13,CVE-2017-5929,Critical,1,SonarQube,87080
logback-core 1.0.13,CVE-2017-5929,Critical,1,SonarQube,87080
loader-utils 2.0.2,CVE-2022-37601,Critical,2,"CloudStack, Ionic Framework",72389
fast-xml-parser 4.2.5,CVE-2026-25896,Critical,1,Piwik,67376
fast-xml-parser 4.5.0,CVE-2026-25896,Critical,1,Piwik,67376
koa 2.7.0,CVE-2025-25200,Critical,1,Piwik,67376
webpack 5.51.1,CVE-2023-28154,Critical,1,Piwik,67376
jackson-databind @jackson.version@,CVE-2017-17485,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2017-7525,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2018-7489,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-14379,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-14540,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-16335,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-16943,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-17267,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-17531,Critical,1,Jetty,65973
@angular/ssr 17.0.0,CVE-2026-27739,Critical,1,Ionic Framework,65706
@angular/ssr 18.0.2,CVE-2026-27739,Critical,1,Ionic Framework,65706
@angular/ssr 19.0.2,CVE-2026-27739,Critical,1,Ionic Framework,65706
@angular/ssr 20.0.3,CVE-2026-27739,Critical,1,Ionic Framework,65706
@babel/traverse 7.18.2,CVE-2023-45133,Critical,1,Ionic Framework,65706
@nguniversal/common 16.0.0,CVE-2026-27739,Critical,1,Ionic Framework,65706
@nguniversal/express-engine 16.0.0,CVE-2026-27739,Critical,1,Ionic Framework,65706
webpack 5.73.0,CVE-2023-28154,Critical,1,Ionic Framework,65706
hadoop-common 2.8.5,CVE-2021-37404,Critical,2,"Apache Oozie, GridGain",61320
hadoop-common 2.8.5,CVE-2022-25168,Critical,2,"Apache Oozie, GridGain",61320
hadoop-common 2.8.5,CVE-2022-26612,Critical,2,"Apache Oozie, GridGain",61320
activemq-client 5.15.9,CVE-2023-46604,Critical,1,Apache Oozie,59842
avro 1.8.2,CVE-2024-47561,Critical,1,Apache Oozie,59842
hive-jdbc 1.2.2,CVE-2018-1282,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2017-17485,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2018-11307,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2018-14719,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2019-14379,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2019-17267,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2020-9547,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2020-9548,Critical,1,Apache Oozie,59842
spark-core_2.10 1.6.1,CVE-2018-17190,Critical,1,Apache Oozie,59842
set-value 0.4.3,CVE-2019-10747,Critical,3,"Liferay, Neos, OrientDB",58905
set-value 2.0.0,CVE-2019-10747,Critical,3,"Liferay, Neos, OrientDB",58905
@babel/traverse 7.4.0,CVE-2023-45133,Critical,2,"Liferay, Neos",54664
minimist 1.1.3,CVE-2021-44906,Critical,2,"Liferay, Neos",54664
mixin-deep 1.3.1,CVE-2019-10746,Critical,2,"Liferay, Neos",54664
@babel/traverse 7.22.10,CVE-2023-45133,Critical,2,"Liferay, Thelia",52714
@babel/traverse 7.12.1,CVE-2023-45133,Critical,1,Liferay,52575
@babel/traverse 7.21.5,CVE-2023-45133,Critical,1,Liferay,52575
@babel/traverse 7.22.20,CVE-2023-45133,Critical,1,Liferay,52575
@babel/traverse 7.4.5,CVE-2023-45133,Critical,1,Liferay,52575
billboard.js 1.12.12,CVE-2025-49223,Critical,1,Liferay,52575
billboard.js 1.8.1,CVE-2025-49223,Critical,1,Liferay,52575
fast-xml-parser 4.4.1,CVE-2026-25896,Critical,1,Liferay,52575
form-data 3.0.2,CVE-2025-7783,Critical,1,Liferay,52575
fsevents 1.2.9,CVE-2023-45311,Critical,1,Liferay,52575
fsevents 1.2.9,N/A,Critical,1,Liferay,52575
jetty-server 8.1.8.v20121106,CVE-2017-7657,Critical,1,Liferay,52575
jetty-server 8.1.8.v20121106,CVE-2017-7658,Critical,1,Liferay,52575
jspdf 3.0.4,CVE-2025-68428,Critical,1,Liferay,52575
jspdf 3.0.4,CVE-2026-31938,Critical,1,Liferay,52575
lodash-es 4.17.11,CVE-2019-10744,Critical,1,Liferay,52575
lodash-es 4.17.4,CVE-2019-10744,Critical,1,Liferay,52575
log4j 1.2.14,CVE-2019-17571,Critical,1,Liferay,52575
log4j 1.2.14,CVE-2022-23305,Critical,1,Liferay,52575
log4j 1.2.14,CVE-2022-23307,Critical,1,Liferay,52575
set-getter 0.1.0,CVE-2021-25949,Critical,1,Liferay,52575
shiro-core 1.1.0,CVE-2016-4437,Critical,1,Liferay,52575
shiro-core 1.1.0,CVE-2020-11989,Critical,1,Liferay,52575
shiro-core 1.1.0,CVE-2020-1957,Critical,1,Liferay,52575
shiro-core 1.1.0,CVE-2021-41303,Critical,1,Liferay,52575
shiro-core 1.1.0,CVE-2022-32532,Critical,1,Liferay,52575
shiro-core 1.1.0,CVE-2022-40664,Critical,1,Liferay,52575
spring-beans 4.1.2.RELEASE,CVE-2022-22965,Critical,1,Liferay,52575
spring-beans 4.1.9.RELEASE,CVE-2022-22965,Critical,1,Liferay,52575
spring-security-core 5.5.1,CVE-2022-22978,Critical,1,Liferay,52575
spring-security-web 5.5.1,CVE-2022-22978,Critical,1,Liferay,52575
spring-security-web 5.5.1,CVE-2024-38821,Critical,1,Liferay,52575
spring-security-web 5.5.1,CVE-2026-22732,Critical,1,Liferay,52575
spring-web 4.1.2.RELEASE,CVE-2016-1000027,Critical,1,Liferay,52575
spring-web 4.1.9.RELEASE,CVE-2016-1000027,Critical,1,Liferay,52575
spring-webmvc 4.1.2.RELEASE,CVE-2022-22965,Critical,1,Liferay,52575
spring-webmvc 4.1.9.RELEASE,CVE-2022-22965,Critical,1,Liferay,52575
underscore 1.9.1,CVE-2021-23358,Critical,1,Liferay,52575
commons-collections 3.2.1,CVE-2015-7501,Critical,3,"Apache Ambari, Apache Giraph, GlassFish",44061
google.golang.org/grpc v1.71.1,CVE-2026-33186,Critical,1,Swarm,43748
google.golang.org/grpc v1.75.0,CVE-2026-33186,Critical,1,Swarm,43748
@babel/traverse 7.7.2,CVE-2023-45133,Critical,1,Meteor,42359
elliptic 6.5.5,N/A,Critical,1,Meteor,42359
growl 1.9.2,CVE-2017-16042,Critical,3,"Apache Ambari, Apache Tez, Ghost",40436
underscore 1.8.3,CVE-2021-23358,Critical,3,"Apache Ambari, Apache Tez, Ghost",40436
dompurify 2.4.0,CVE-2024-48910,Critical,1,Commerce Software,35570
fast-xml-parser 5.0.9,CVE-2026-25896,Critical,1,Commerce Software,35570
maildev 2.1.0,CVE-2024-27448,Critical,1,Commerce Software,35570
lodash 3.7.0,CVE-2019-10744,Critical,2,"Apache Ambari, Apache Tez",34598
morgan 1.8.1,CVE-2019-5413,Critical,2,"Apache Ambari, Apache Tez",34598
uglify-js 2.3.6,CVE-2015-8857,Critical,2,"Apache Ambari, Apache Tez",34598
xmldom 0.1.27,CVE-2022-39353,Critical,2,"Apache Ambari, Apache Tez",34598
zookeeper 3.5.5,CVE-2023-44981,Critical,2,"Alluxio, Apache Ambari",30482
avro 1.7.4,CVE-2024-47561,Critical,2,"Apache Ambari, Apache MINA",29037
jackson-mapper-asl 1.9.2,CVE-2019-10202,Critical,2,"Apache Ambari, Apache Giraph",28811
babel-traverse 6.24.1,CVE-2023-45133,Critical,1,Apache Ambari,28330
c3p0 [0.9.5.4],CVE-2018-20433,Critical,1,Apache Ambari,28330
deep-extend 0.2.11,CVE-2018-3750,Critical,1,Apache Ambari,28330
form-data 0.2.0,CVE-2025-7783,Critical,1,Apache Ambari,28330
fsevents 0.3.0,CVE-2023-45311,Critical,1,Apache Ambari,28330
fsevents 0.3.8,CVE-2023-45311,Critical,1,Apache Ambari,28330
h2 1.4.193,CVE-2021-42392,Critical,1,Apache Ambari,28330
h2 1.4.193,CVE-2022-23221,Critical,1,Apache Ambari,28330
hadoop-common 2.2.0,CVE-2021-37404,Critical,1,Apache Ambari,28330
hadoop-common 2.2.0,CVE-2022-25168,Critical,1,Apache Ambari,28330
hadoop-common 2.2.0,CVE-2022-26612,Critical,1,Apache Ambari,28330
hadoop-common 2.7.7,CVE-2021-37404,Critical,1,Apache Ambari,28330
hadoop-common 2.7.7,CVE-2022-25168,Critical,1,Apache Ambari,28330
hadoop-common 2.7.7,CVE-2022-26612,Critical,1,Apache Ambari,28330
handlebars 1.0.12,CVE-2019-19919,Critical,1,Apache Ambari,28330
handlebars 1.0.12,CVE-2021-23369,Critical,1,Apache Ambari,28330
handlebars 1.0.12,CVE-2021-23383,Critical,1,Apache Ambari,28330
handlebars 2.0.0,CVE-2019-19919,Critical,1,Apache Ambari,28330
handlebars 2.0.0,CVE-2021-23369,Critical,1,Apache Ambari,28330
handlebars 2.0.0,CVE-2021-23383,Critical,1,Apache Ambari,28330
handlebars 4.0.6,CVE-2019-19919,Critical,1,Apache Ambari,28330
handlebars 4.0.6,CVE-2021-23369,Critical,1,Apache Ambari,28330
handlebars 4.0.6,CVE-2021-23383,Critical,1,Apache Ambari,28330
handlebars 4.0.6,CVE-2026-33937,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2017-15095,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2017-17485,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2017-7525,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2018-11307,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2018-14718,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2018-14719,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2018-19362,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2018-7489,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2019-14379,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2019-14540,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2019-16335,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2019-16942,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2019-16943,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2019-17267,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2019-17531,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2019-20330,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2020-8840,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2020-9547,Critical,1,Apache Ambari,28330
jackson-databind 2.4.0,CVE-2020-9548,Critical,1,Apache Ambari,28330
java-xmlbuilder 0.4,CVE-2014-125087,Critical,1,Apache Ambari,28330
lodash 4.16.6,CVE-2019-10744,Critical,1,Apache Ambari,28330
netty 3.7.0.Final,CVE-2019-20444,Critical,1,Apache Ambari,28330
nimbus-jose-jwt 5.9,CVE-2019-17195,Critical,1,Apache Ambari,28330
spring-beans 3.1.2.RELEASE,CVE-2022-22965,Critical,1,Apache Ambari,28330
spring-beans 4.0.5.RELEASE,CVE-2022-22965,Critical,1,Apache Ambari,28330
spring-security-web 6.0.8,CVE-2024-38821,Critical,1,Apache Ambari,28330
spring-security-web 6.0.8,CVE-2026-22732,Critical,1,Apache Ambari,28330
spring-web 4.0.5.RELEASE,CVE-2016-1000027,Critical,1,Apache Ambari,28330
spring-webmvc 4.0.5.RELEASE,CVE-2022-22965,Critical,1,Apache Ambari,28330
uglify-js 1.3.2,CVE-2015-8857,Critical,1,Apache Ambari,28330
avro 1.11.1,CVE-2024-47561,Critical,1,Apache Flume,28178
hadoop-common 3.2.2,CVE-2021-37404,Critical,1,Apache Flume,28178
hadoop-common 3.2.2,CVE-2022-25168,Critical,1,Apache Flume,28178
hadoop-common 3.2.2,CVE-2022-26612,Critical,1,Apache Flume,28178
mina-core 2.1.5,CVE-2024-52046,Critical,1,Apache Flume,28178
parquet-avro 1.11.2,CVE-2025-30065,Critical,1,Apache Flume,28178
nokogiri 1.13.6,N/A,Critical,1,Apache Mesos,27494
rack 1.6.12,CVE-2022-30123,Critical,1,Apache Mesos,27494
golang.org/x/crypto v0.27.0,CVE-2024-45337,Critical,1,Liquibase,25920
liquibase-core 0-SNAPSHOT,CVE-2022-0839,Critical,1,Liquibase,25920
liquibase-core 1.0-SNAPSHOT,CVE-2022-0839,Critical,1,Liquibase,25920
h2 1.4.199,CVE-2021-42392,Critical,1,Presto,22940
h2 1.4.199,CVE-2022-23221,Critical,1,Presto,22940
form-data 0.1.4,CVE-2025-7783,Critical,1,Emberjs,18683
postgresql 42.1.1.jre7,CVE-2024-1597,Critical,1,Jython,18048
form-data 4.0.2,CVE-2025-7783,Critical,1,EllisLab ExpressionEngine,16978
mysql2 2.3.3,CVE-2024-21508,Critical,1,EllisLab ExpressionEngine,16978
mysql2 2.3.3,CVE-2024-21511,Critical,1,EllisLab ExpressionEngine,16978
htmlunit 2.58.0,CVE-2023-26119,Critical,1,GlassFish,15250
sshd-core 1.7.0,CVE-2022-45047,Critical,2,"Cask Data Application Platform, Vaadin",12997
nokogiri 1.10.4,N/A,Critical,1,Marathon,12777
com.liferay.portal.kernel 2.0.0,CVE-2020-7961,Critical,1,Vaadin,12500
log4j-core 2.8.2,CVE-2021-44228,Critical,1,Vaadin,12500
log4j-core 2.8.2,CVE-2021-45046,Critical,1,Vaadin,12500
org.apache.karaf.specs.java.xml 4.2.1,CVE-2018-11788,Critical,1,Vaadin,12500
org.eclipse.jgit 3.5.1.201410131835-r,CVE-2014-9390,Critical,1,Vaadin,12500
pax-logging-log4j2 1.10.1,CVE-2021-44228,Critical,1,Vaadin,12500
pax-logging-log4j2 1.10.1,CVE-2021-45046,Critical,1,Vaadin,12500
pax-logging-log4j2 1.10.1,N/A,Critical,1,Vaadin,12500
form-data 3.0.3,CVE-2025-7783,Critical,1,Apollo Client,11501
next 15.2.1,CVE-2025-29927,Critical,1,Apollo Client,11501
next 15.2.1,N/A,Critical,1,Apollo Client,11501
webpack 5.66.0,CVE-2023-28154,Critical,1,Open Web Analytics,10658
shell-quote 1.7.2,CVE-2021-42740,Critical,2,"Druid, Neos",9323
next 14.1.3,CVE-2025-29927,Critical,1,Quill,8304
jackson-mapper-asl 1.9.13,CVE-2019-10202,Critical,2,"Apache Apex, Druid",7877
fast-xml-parser 4.5.3,CVE-2026-25896,Critical,2,"Druid, ReDoc",7796
crypto-js 4.1.1,CVE-2023-46233,Critical,1,NopCommerce,7599
swiper 11.1.14,CVE-2026-27212,Critical,1,NopCommerce,7599
immer 8.0.1,CVE-2021-23436,Critical,1,Druid,7234
netty 3.10.6.Final,CVE-2019-20444,Critical,1,Druid,7234
ranger-plugins-common 2.7.0,CVE-2025-59059,Critical,1,Druid,7234
@angular/ssr 20.3.3,CVE-2026-27739,Critical,1,dotCMS,6867
dart 2.17.6,N/A,Critical,1,dotCMS,6867
happy-dom 15.7.4,CVE-2024-51757,Critical,1,dotCMS,6867
happy-dom 15.7.4,CVE-2025-61927,Critical,1,dotCMS,6867
next 14.0.4,CVE-2025-29927,Critical,1,dotCMS,6867
next 14.2.16,CVE-2025-29927,Critical,1,dotCMS,6867
webpack 5.64.0,CVE-2023-28154,Critical,1,dotCMS,6867
fast-xml-parser 4.3.0,CVE-2026-25896,Critical,1,CloudStack,6683
spring-web 5.3.26,CVE-2016-1000027,Critical,1,CloudStack,6683
handlebars 3.0.3,CVE-2019-19919,Critical,1,Apache Tez,6268
handlebars 3.0.3,CVE-2021-23369,Critical,1,Apache Tez,6268
handlebars 3.0.3,CVE-2021-23383,Critical,1,Apache Tez,6268
fast-xml-parser 5.2.5,CVE-2026-25896,Critical,1,Ghost,5838
underscore 1.7.0,CVE-2021-23358,Critical,1,Ghost,5838
class-validator 0.13.2,CVE-2019-18413,Critical,1,Jahia,4763
drools-core 6.0.0.Final-jahia2,CVE-2021-41411,Critical,1,Jahia,4763
quartz 1.8.6,CVE-2019-13990,Critical,1,Jahia,4763
spring-beans 3.2.18.jahia2_OSGI,CVE-2022-22965,Critical,1,Jahia,4763
spring-web 3.2.18.jahia5_OSGI,CVE-2016-1000027,Critical,1,Jahia,4763
spring-webmvc 3.2.18.RELEASE_OSGI,CVE-2022-22965,Critical,1,Jahia,4763
tj-actions/branch-names v8,CVE-2025-54416,Critical,1,Jahia,4763
clojure 1.5.1,CVE-2017-20189,Critical,1,Weka,4230
groovy-all 1.8.5,CVE-2015-3253,Critical,1,Weka,4230
groovy-all 1.8.5,CVE-2016-6814,Critical,1,Weka,4230
jython-standalone 2.5.2,CVE-2016-4000,Critical,1,Weka,4230
spark-core_2.10 1.1.1,CVE-2018-17190,Critical,1,Weka,4230
spark-core_2.10 1.6.3,CVE-2018-17190,Critical,1,Weka,4230
spark-core_2.10 2.4.0,CVE-2018-17190,Critical,1,Weka,4230
spark-core_2.12 3.0.0,CVE-2023-22946,Critical,1,Weka,4230
xmlbeans 2.6.0,CVE-2021-23926,Critical,1,Weka,4230
http 0.1.0,CVE-2019-25009,Critical,1,Rust,4040
rust-analyzer 0.5.0-dev,N/A,Critical,1,Rust,4040
lldb-dap 0.2.0,N/A,Critical,1,OpenBSD,3695
nokogiri 1.10.8,N/A,Critical,1,Capistrano,3189
calcite-core 1.30.0-kylin-5.x-r3,CVE-2022-39135,Critical,1,Apache Kylin,3107
hadoop-common 2.10.1,CVE-2021-37404,Critical,1,Apache Kylin,3107
hadoop-common 2.10.1,CVE-2022-25168,Critical,1,Apache Kylin,3107
hadoop-common 2.10.1,CVE-2022-26612,Critical,1,Apache Kylin,3107
spark-core_2.12 3.3.0-kylin-5.2.2,CVE-2023-22946,Critical,1,Apache Kylin,3107
tomcat-embed-core 9.0.90,CVE-2025-24813,Critical,1,Apache Kylin,3107
unboundid-ldapsdk 3.1.1,CVE-2018-1000134,Critical,1,Apache Kylin,3107
zookeeper 3.4.14,CVE-2023-44981,Critical,1,Apache Kylin,3107
minimist 0.0.10,CVE-2021-44906,Critical,2,"Bolt, Neos",2928
opentelemetry-javaagent 2.14.0,CVE-2026-33701,Critical,1,Apache Accumulo,2922
sqlalchemy 1.0.13,CVE-2019-7164,Critical,1,Formspree,2846
